Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
1,Adrián,es ESP,GK,Liverpool,33,1987,3,3,270,3.0,9,3.00,18,9,50.0,1,1,1,1,33.3,0,0,0,0,,Matches,f76e6b4e
2,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25,1995,1,0,16,0.2,0,0.00,2,2,100.0,0,0,0,0,,0,0,0,0,,Matches,8fa8f8d2
3,Alisson,br BRA,GK,Liverpool,27,1992,33,33,2970,33.0,32,0.97,115,82,75.7,18,8,7,10,30.3,8,4,1,3,20.0,Matches,7a2e46a8
4,Alphonse Areola,fr FRA,GK,Fulham,27,1993,36,36,3240,36.0,48,1.33,161,114,73.9,5,13,18,9,25.0,6,6,0,0,0.0,Matches,2f965a72
5,Kepa Arrizabalaga,es ESP,GK,Chelsea,25,1994,7,6,585,6.5,8,1.23,23,15,69.6,2,2,2,2,33.3,1,1,0,0,0.0,Matches,28d596a0
6,Jack Butland,eng ENG,GK,Crystal Palace,27,1993,1,1,90,1.0,2,2.00,5,3,60.0,1,0,0,0,0.0,0,0,0,0,,Matches,cc70a1d5
7,David Button,eng ENG,GK,West Brom,31,1989,1,1,90,1.0,2,2.00,6,4,66.7,1,0,0,0,0.0,0,0,0,0,,Matches,e608ed4c
8,Willy Caballero,ar ARG,GK,Chelsea,38,1981,1,1,90,1.0,3,3.00,3,0,0.0,0,1,0,0,0.0,0,0,0,0,,Matches,a179d516
9,Scott Carson,eng ENG,GK,Manchester City,34,1985,1,1,90,1.0,3,3.00,5,1,60.0,1,0,0,0,0.0,2,1,1,0,50.0,Matches,3e1550ee
10,Kiko Casilla,es ESP,GK,Leeds United,33,1986,3,3,270,3.0,2,0.67,10,8,80.0,2,0,1,1,33.3,0,0,0,0,,Matches,58bc7d18
11,Karl Darlow,eng ENG,GK,Newcastle Utd,29,1990,25,25,2250,25.0,43,1.72,126,84,68.3,7,4,14,4,16.0,4,3,1,0,25.0,Matches,cde3309f
12,Martin Dúbravka,sk SVK,GK,Newcastle Utd,31,1989,13,13,1170,13.0,19,1.46,62,44,71.0,5,5,3,3,23.1,1,1,0,0,0.0,Matches,3a949a25
13,Ederson,br BRA,GK,Manchester City,26,1993,36,36,3240,36.0,28,0.78,93,65,77.4,25,5,6,19,52.8,8,7,1,0,12.5,Matches,3bb7b8b4
14,Łukasz Fabiański,pl POL,GK,West Ham,35,1985,35,35,3150,35.0,44,1.26,138,97,70.3,17,8,10,10,28.6,5,3,1,1,25.0,Matches,9328b835
15,Fraser Forster,eng ENG,GK,Southampton,32,1988,8,8,720,8.0,11,1.37,31,19,71.0,4,0,4,2,25.0,3,2,1,0,33.3,Matches,c3e39f12
16,David de Gea,es ESP,GK,Manchester Utd,29,1990,26,26,2295,25.5,32,1.25,90,59,68.9,11,9,5,9,34.6,4,4,0,0,0.0,Matches,7ba6d84e
17,Vicente Guaita,es ESP,GK,Crystal Palace,33,1987,37,37,3330,37.0,64,1.73,169,104,63.9,11,8,18,8,21.6,4,3,1,0,25.0,Matches,ab13a5aa
18,Dean Henderson,eng ENG,GK,Manchester Utd,23,1997,13,12,1125,12.5,12,0.96,51,39,76.5,9,2,1,4,33.3,0,0,0,0,,Matches,e5a76dfe
19,Sam Johnstone,eng ENG,GK,West Brom,27,1993,37,37,3330,37.0,74,2.00,234,162,71.4,4,11,22,6,16.2,11,7,1,3,12.5,Matches,9e5708be
20,Caoimhín Kelleher,ie IRL,GK,Liverpool,21,1998,2,2,180,2.0,1,0.50,7,6,85.7,1,0,1,1,50.0,0,0,0,0,,Matches,62d7ef38
21,Bernd Leno,de GER,GK,Arsenal,28,1992,35,35,3131,34.8,37,1.06,117,83,69.2,17,6,11,11,31.4,2,1,1,0,50.0,Matches,2628fd2b
22,Hugo Lloris,fr FRA,GK,Tottenham,33,1986,38,38,3420,38.0,45,1.18,155,113,77.4,18,8,12,12,31.6,10,10,0,0,0.0,Matches,8f62b6ee
23,Emiliano Martínez,ar ARG,GK,Aston Villa,27,1992,38,38,3420,38.0,46,1.21,186,133,78.0,16,7,15,15,39.5,6,5,1,0,16.7,Matches,7956236f
24,Alex McCarthy,eng ENG,GK,Southampton,30,1989,30,30,2700,30.0,57,1.90,147,91,65.3,8,7,15,7,23.3,6,6,0,0,0.0,Matches,36c2ca73
25,Edouard Mendy,sn SEN,GK,Chelsea,28,1992,31,31,2745,30.5,25,0.82,81,56,71.6,17,7,6,16,51.6,3,2,1,0,33.3,Matches,33887998
26,Illan Meslier,fr FRA,GK,Leeds United,20,2000,35,35,3150,35.0,52,1.49,188,137,76.6,16,5,14,11,31.4,9,8,1,0,11.1,Matches,6b625ac2
27,Will Norris,eng ENG,GK,Burnley,26,1993,2,2,180,2.0,4,2.00,6,2,33.3,0,0,2,0,0.0,0,0,0,0,,Matches,c73ada83
28,Robin Olsen,se SWE,GK,Everton,30,1990,7,7,630,7.0,9,1.29,30,21,73.3,2,3,2,2,28.6,1,1,0,0,0.0,Matches,e7ee38c3
29,Rui Patrício,pt POR,GK,Wolves,32,1988,37,37,3329,37.0,51,1.38,148,99,70.3,12,9,15,10,27.0,8,7,1,0,12.5,Matches,79b0d6a0
30,Bailey Peacock-Farrell,nir NIR,GK,Burnley,23,1996,4,4,360,4.0,14,3.50,24,10,41.7,0,0,4,0,0.0,0,0,0,0,,Matches,4879f8cb
31,Jordan Pickford,eng ENG,GK,Everton,26,1994,31,31,2742,30.5,39,1.28,128,90,71.1,15,5,10,10,32.3,3,2,0,1,0.0,Matches,4806ec67
32,Nick Pope,eng ENG,GK,Burnley,28,1992,32,32,2880,32.0,37,1.16,149,113,77.2,10,9,13,11,34.4,3,3,0,0,0.0,Matches,4b40d9ca
33,Aaron Ramsdale,eng ENG,GK,Sheffield Utd,22,1998,38,38,3420,38.0,63,1.66,206,145,70.9,7,2,29,5,13.2,4,3,0,1,0.0,Matches,466fb2c5
34,Darren Randolph,ie IRL,GK,West Ham,33,1987,3,3,270,3.0,3,1.00,9,6,66.7,2,0,1,1,33.3,0,0,0,0,,Matches,6385ebfb
35,Marek Rodák,sk SVK,GK,Fulham,23,1996,2,2,180,2.0,5,2.50,9,4,55.6,0,0,2,0,0.0,1,1,0,0,0.0,Matches,17acc2ed
36,John Ruddy,eng ENG,GK,Wolves,33,1986,2,1,91,1.0,1,0.99,4,3,75.0,0,0,1,0,0.0,0,0,0,0,,Matches,da8b19e2
37,Mathew Ryan,au AUS,GK,Brighton,28,1992,11,11,990,11.0,19,1.73,34,16,55.9,2,4,5,2,18.2,4,4,0,0,0.0,Matches,4535e4bb
38,Mathew Ryan,au AUS,GK,Arsenal,28,1992,3,3,270,3.0,2,0.67,10,8,90.0,1,1,1,1,33.3,1,1,0,0,0.0,Matches,4535e4bb
39,Robert Sánchez,es ESP,GK,Brighton,22,1997,27,27,2430,27.0,27,1.00,91,65,72.5,7,10,10,10,37.0,3,2,0,1,0.0,Matches,6a713852
40,Kasper Schmeichel,dk DEN,GK,Leicester City,33,1986,38,38,3420,38.0,50,1.32,136,88,66.2,20,6,12,11,28.9,4,4,0,0,0.0,Matches,53af52f3
41,Zack Steffen,us USA,GK,Manchester City,25,1995,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,Matches,42130443
42,João Virgínia,pt POR,GK,Everton,20,1999,1,0,48,0.5,0,0.00,3,3,100.0,0,0,0,0,,0,0,0,0,,Matches,728e9b2e