Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,29,1990,19.7,2,0,0,11,3,3,40,30,22,0,0,0,136,11,13,45.8,Matches,5f09991f
2,Tammy Abraham,eng ENG,FW,Chelsea,22,1997,11.6,0,0,0,22,12,4,6,5,5,1,0,0,28,38,28,57.6,Matches,f586779e
3,Che Adams,sct SCO,FW,Southampton,24,1996,29.6,1,0,0,30,55,19,6,4,16,0,0,0,84,53,133,28.5,Matches,f2bf1b0f
4,Tosin Adarabioyo,eng ENG,DF,Fulham,22,1997,32.8,1,0,0,16,6,2,2,42,19,0,1,1,143,82,38,68.3,Matches,c81d773d
5,Adrián,es ESP,GK,Liverpool,33,1987,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches,f76e6b4e
6,Sergio Agüero,ar ARG,FW,Manchester City,32,1988,6.2,0,0,0,2,7,1,1,2,1,0,0,0,12,2,4,33.3,Matches,4d034881
7,Ola Aina,ng NGA,DF,Fulham,23,1996,29.6,3,0,0,32,25,2,52,45,20,0,0,0,147,31,36,46.3,Matches,246d153b
8,Rayan Aït Nouri,fr FRA,DF,Wolves,19,2001,15.6,1,0,0,15,19,1,61,15,16,0,1,0,86,5,23,17.9,Matches,9b398aea
9,Semi Ajayi,ng NGA,DF,West Brom,26,1993,30.9,3,1,0,28,4,1,7,42,14,0,2,0,161,74,54,57.8,Matches,d6192210
10,Nathan Aké,nl NED,DF,Manchester City,25,1995,8.9,4,0,0,8,4,0,1,9,5,0,1,0,30,24,17,58.5,Matches,eaeca114
11,Marc Albrighton,eng ENG,DFFW,Leicester City,30,1989,19.4,2,0,0,9,19,4,118,17,19,0,0,0,138,10,36,21.7,Matches,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,29,1991,20.6,4,0,0,48,25,0,7,30,36,0,1,0,153,31,31,50.0,Matches,77e84962
13,Toby Alderweireld,be BEL,DF,Tottenham,31,1989,24.9,2,0,0,17,3,0,1,10,22,0,1,1,117,45,35,56.3,Matches,f7d50789
14,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,8fa8f8d2
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,21,1998,33.7,2,0,0,21,9,5,297,49,33,0,1,0,258,8,23,25.8,Matches,cd1acf9d
16,Ezgjan Alioski,mk MKD,DFMF,Leeds United,28,1992,27.3,7,0,0,39,44,6,62,23,31,0,2,0,146,39,44,47.0,Matches,1a7fcf39
17,Alisson,br BRA,GK,Liverpool,27,1992,33.0,1,0,0,1,6,0,0,2,2,0,1,0,74,12,1,92.3,Matches,7a2e46a8
18,Allan,br BRA,MF,Everton,29,1991,22.8,6,0,0,37,30,0,4,19,45,0,0,0,187,4,11,26.7,Matches,cc700722
19,Dele Alli,eng ENG,MF,Tottenham,24,1996,6.9,0,0,0,10,12,1,10,7,11,0,0,0,50,8,11,42.1,Matches,cea4ee8f
20,Miguel Almirón,py PAR,MFFW,Newcastle Utd,26,1994,27.0,3,0,0,18,39,6,39,25,29,0,0,0,163,8,17,32.0,Matches,862a1c15
21,Marcos Alonso,es ESP,DF,Chelsea,29,1990,10.7,2,0,0,13,12,2,24,12,3,0,0,0,59,23,15,60.5,Matches,f4290206
22,Steven Alzate,co COL,MF,Brighton,21,1998,10.0,2,0,0,20,6,1,3,8,8,0,0,0,46,7,12,36.8,Matches,ad1f61f3
23,Daniel Amartey,gh GHA,DF,Leicester City,25,1994,8.0,3,0,0,3,1,0,1,12,7,0,0,0,60,19,16,54.3,Matches,1a4ef233
24,Ethan Ampadu,wls WAL,DFMF,Sheffield Utd,19,2000,23.2,3,0,0,25,25,1,19,49,36,0,1,1,114,52,29,64.2,Matches,10b9fa99
25,Joachim Andersen,dk DEN,DF,Fulham,24,1996,30.3,7,1,0,39,15,1,12,44,19,0,2,0,172,98,44,69.0,Matches,e34fc66d
26,Elliot Anderson,sct SCO,MF,Newcastle Utd,17,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,de31038e
27,Felipe Anderson,br BRA,FWMF,West Ham,27,1993,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches,9f1893b9
28,Michail Antonio,jm JAM,FW,West Ham,30,1990,21.9,3,0,0,29,40,15,31,7,4,1,0,0,51,71,88,44.7,Matches,ac05f970
29,Alphonse Areola,fr FRA,GK,Fulham,27,1993,36.0,2,0,0,0,5,0,0,1,0,0,0,0,36,13,1,92.9,Matches,2f965a72
30,Stuart Armstrong,sct SCO,MF,Southampton,28,1992,30.7,3,0,0,34,35,4,40,24,41,0,0,0,175,8,17,32.0,Matches,97333cf5
31,Kepa Arrizabalaga,es ESP,GK,Chelsea,25,1994,6.5,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches,28d596a0
32,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,31,1989,25.9,2,0,0,13,18,17,38,7,8,0,0,1,65,34,58,37.0,Matches,d5dd5f1f
33,Serge Aurier,ci CIV,DF,Tottenham,27,1992,17.8,0,0,0,23,15,1,35,19,33,0,1,0,111,36,40,47.4,Matches,5c2b4f07
34,Charlie Austin,eng ENG,FWMF,West Brom,31,1989,1.5,0,0,0,0,2,1,0,3,2,0,0,0,4,6,13,31.6,Matches,8d228291
35,Jordan Ayew,gh GHA,FWMF,Crystal Palace,28,1991,23.3,4,0,0,45,63,5,31,16,26,0,0,0,108,29,94,23.6,Matches,da052c14
36,Luke Ayling,eng ENG,DF,Leeds United,28,1991,37.8,7,0,0,29,54,2,82,36,61,0,1,0,279,65,65,50.0,Matches,420d7c7d
37,César Azpilicueta,es ESP,DF,Chelsea,30,1989,24.3,5,1,0,32,14,5,37,28,28,0,0,0,131,55,44,55.6,Matches,53cad200
38,Eric Bailly,ci CIV,DF,Manchester Utd,26,1994,10.2,3,0,0,10,4,0,0,13,5,0,0,0,73,24,17,58.5,Matches,a1232f4e
39,Fabián Balbuena,py PAR,DF,West Ham,28,1991,13.3,1,1,0,12,3,0,3,25,12,0,0,0,73,21,17,55.3,Matches,3626f7d9
40,George Baldock,gr GRE,DF,Sheffield Utd,27,1993,31.0,7,0,0,46,21,10,62,25,34,0,0,0,127,26,28,48.1,Matches,394854c4
41,Gareth Bale,wls WAL,FW,Tottenham,31,1989,10.2,1,0,0,9,9,5,40,8,10,0,0,0,38,23,11,67.6,Matches,a58bb1e1
42,Patrick Bamford,eng ENG,FW,Leeds United,26,1993,33.9,3,0,0,36,23,18,3,10,9,3,0,0,59,47,73,39.2,Matches,93feac6e
43,Phil Bardsley,sct SCO,DF,Burnley,35,1985,3.0,2,0,0,8,4,0,10,6,5,0,0,0,14,6,2,75.0,Matches,1ae30132
44,Ross Barkley,eng ENG,MF,Aston Villa,26,1993,17.0,0,0,0,12,17,5,61,5,2,1,0,0,70,21,22,48.8,Matches,3a24769f
45,Ross Barkley,eng ENG,FWMF,Chelsea,26,1993,0.5,0,0,0,2,2,1,0,0,0,0,0,0,6,2,1,66.7,Matches,3a24769f
46,Ashley Barnes,eng ENG,FW,Burnley,30,1989,14.8,4,0,0,46,49,17,8,5,6,1,0,0,41,60,82,42.3,Matches,2691c772
47,Harvey Barnes,eng ENG,FWMF,Leicester City,22,1997,21.6,0,0,0,16,33,1,27,8,9,0,0,0,86,24,32,42.9,Matches,3ea50f67
48,Kyle Bartley,eng ENG,DF,West Brom,29,1991,28.7,4,0,0,30,8,5,1,38,16,0,1,0,137,105,56,65.2,Matches,18e96f64
49,Chris Basham,eng ENG,DFMF,Sheffield Utd,32,1988,28.6,5,0,0,25,28,6,25,49,42,1,1,0,158,54,61,47.0,Matches,1aa84968
50,Michy Batshuayi,be BEL,FW,Crystal Palace,26,1993,8.1,0,0,0,12,5,11,5,4,3,1,0,0,15,10,15,40.0,Matches,2973d8ff
51,Jan Bednarek,pl POL,DF,Southampton,24,1996,34.4,5,1,0,30,13,0,0,84,19,0,1,1,205,95,53,64.2,Matches,4115ce4e
52,Donny van de Beek,nl NED,MFFW,Manchester Utd,23,1997,5.8,1,0,0,5,6,0,0,6,10,1,0,0,38,2,5,28.6,Matches,50dc94ce
53,Héctor Bellerín,es ESP,DFMF,Arsenal,25,1995,23.2,8,0,0,21,7,1,54,33,19,1,0,0,91,31,30,50.8,Matches,f874dd44
54,Saïd Benrahma,dz ALG,FWMF,West Ham,24,1995,15.5,0,0,0,14,15,2,44,8,15,0,1,0,91,2,13,13.3,Matches,5a04fd92
55,Josh Benson,eng ENG,MF,Burnley,20,1999,2.9,0,0,0,4,1,0,5,3,1,0,1,0,18,2,4,33.3,Matches,bf3aeb61
56,Christian Benteke,be BEL,FW,Crystal Palace,29,1990,20.2,3,1,1,35,20,14,3,4,7,0,0,0,45,204,154,57.0,Matches,ab070c55
57,Gaetano Berardi,ch SUI,DF,Leeds United,31,1988,1.3,0,0,0,1,0,0,1,1,2,0,0,0,7,4,3,57.1,Matches,5348aada
58,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,29,1990,15.1,2,0,0,11,16,1,31,17,11,0,0,0,81,19,27,41.3,Matches,f72293fc
59,Sander Berge,no NOR,MF,Sheffield Utd,22,1998,12.4,4,0,0,14,4,2,23,4,7,0,0,0,68,16,15,51.6,Matches,d0b6129f
60,Steven Bergwijn,nl NED,FWMF,Tottenham,22,1997,13.4,3,0,0,20,16,1,13,5,7,1,0,0,76,2,10,16.7,Matches,a29b1131
61,Bernard,br BRA,MFFW,Everton,27,1992,5.1,2,0,0,6,7,0,14,8,3,0,0,0,31,0,1,0.0,Matches,ab4b3e35
62,Bernardo,br BRA,DFMF,Brighton,25,1995,2.3,0,0,0,1,1,0,5,1,8,0,0,0,7,7,7,50.0,Matches,17370b95
63,Ryan Bertrand,eng ENG,DF,Southampton,30,1989,28.9,5,0,0,29,35,3,82,30,32,0,1,0,89,37,53,41.1,Matches,01226327
64,Yves Bissouma,ml MLI,MF,Brighton,23,1996,34.6,8,1,0,55,32,0,7,64,68,0,0,0,271,38,22,63.3,Matches,6c203af0
65,Jayden Bogle,eng ENG,DFMF,Sheffield Utd,20,2000,12.3,2,0,0,15,9,1,12,14,23,0,0,0,64,18,22,45.0,Matches,ae5019e6
66,Willy Boly,ci CIV,DF,Wolves,29,1991,20.9,2,0,0,15,8,0,0,32,20,0,1,0,88,55,25,68.8,Matches,a4ac4b8f
67,Jarrod Bowen,eng ENG,FWMF,West Ham,23,1996,28.5,0,0,0,15,54,15,122,22,15,0,0,0,134,23,51,31.1,Matches,79c84d1c
68,Robbie Brady,ie IRL,MF,Burnley,28,1992,11.7,3,0,0,21,9,1,43,9,15,0,0,0,80,19,21,47.5,Matches,96bb8cc2
69,Rhian Brewster,eng ENG,FWMF,Sheffield Utd,20,2000,12.5,1,0,0,18,13,4,16,5,5,0,0,0,35,14,50,21.9,Matches,30e81a88
70,Nathan Broadhead,wls WAL,FW,Everton,22,1998,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches,43309491
71,Josh Brownhill,eng ENG,MF,Burnley,24,1995,31.3,2,0,0,36,32,2,17,69,27,0,0,0,195,63,53,54.3,Matches,47369df8
72,Joe Bryan,eng ENG,DFMF,Fulham,26,1993,7.4,2,0,0,10,7,0,48,14,8,1,1,0,38,6,3,66.7,Matches,af69e7f0
73,Kean Bryan,eng ENG,DF,Sheffield Utd,23,1996,11.2,1,0,0,13,2,0,17,13,10,0,0,1,54,31,19,62.0,Matches,c684d3c9
74,Oliver Burke,sct SCO,FW,Sheffield Utd,23,1997,14.1,2,0,0,23,6,3,10,2,8,0,0,0,29,30,46,39.5,Matches,f631c17f
75,Dan Burn,eng ENG,DF,Brighton,28,1992,22.9,5,0,0,35,6,4,37,31,26,0,1,1,109,95,41,69.9,Matches,b2d31e83
76,Jack Butland,eng ENG,GK,Crystal Palace,27,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,cc70a1d5
77,David Button,eng ENG,GK,West Brom,31,1989,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches,e608ed4c
78,Oskar Buur,dk DEN,DF,Wolves,22,1998,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches,aa6f2f2c
79,Willy Caballero,ar ARG,GK,Chelsea,38,1981,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches,a179d516
80,Gary Cahill,eng ENG,DF,Crystal Palace,34,1985,20.0,3,0,0,12,3,3,0,13,9,0,0,0,64,69,36,65.7,Matches,7914b9fe
81,Tom Cairney,sct SCO,MF,Fulham,29,1991,8.4,2,0,0,4,18,1,37,0,3,1,0,0,39,4,4,50.0,Matches,a8748947
82,Dominic Calvert-Lewin,eng ENG,FW,Everton,23,1997,31.9,3,0,0,37,41,18,9,6,8,2,0,0,61,153,132,53.7,Matches,59e6e5bf
83,João Cancelo,pt POR,DFMF,Manchester City,26,1994,25.5,5,1,0,36,18,2,72,41,41,0,0,0,162,30,29,50.8,Matches,bd6351cd
84,Ian Carlo Poveda,eng ENG,MF,Leeds United,20,2000,3.9,0,0,0,5,6,2,9,1,4,0,0,0,19,0,1,0.0,Matches,55b4f1d6
85,Andy Carroll,eng ENG,FW,Newcastle Utd,31,1989,4.4,1,0,0,12,10,4,0,0,1,0,0,0,7,52,26,66.7,Matches,b581987a
86,Scott Carson,eng ENG,GK,Manchester City,34,1985,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,3e1550ee
87,Fabio Carvalho,pt POR,MFFW,Fulham,17,2002,2.8,0,0,0,4,2,0,4,1,6,0,0,0,12,1,4,20.0,Matches,966e28d0
88,Matty Cash,pl POL,DF,Aston Villa,22,1997,26.4,8,1,1,35,22,2,81,60,40,0,2,0,134,34,39,46.6,Matches,2389cdc2
89,Kiko Casilla,es ESP,GK,Leeds United,33,1986,3.0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,100.0,Matches,58bc7d18
90,Timothy Castagne,be BEL,DF,Leicester City,24,1995,26.1,1,0,0,20,14,1,46,29,32,0,0,0,129,40,43,48.2,Matches,197640fd
91,Jonny Castro,es ESP,MFDF,Wolves,26,1994,5.5,0,0,0,7,11,0,9,9,5,0,0,0,25,5,2,71.4,Matches,e28868f3
92,Ivan Cavaleiro,pt POR,FW,Fulham,26,1993,27.5,2,0,0,30,28,9,122,19,14,0,0,0,123,48,88,35.3,Matches,979b811d
93,Edinson Cavani,uy URU,FW,Manchester Utd,33,1987,15.3,4,0,0,21,13,6,4,6,8,0,0,0,41,10,17,37.0,Matches,527f063d
94,Dani Ceballos,es ESP,MF,Arsenal,23,1996,17.9,4,0,0,23,24,0,29,35,22,0,0,0,136,8,13,38.1,Matches,c0617e2b
95,Calum Chambers,eng ENG,DF,Arsenal,25,1995,8.4,0,0,0,7,2,0,33,10,3,0,0,0,42,20,18,52.6,Matches,dc6f5bdd
96,Ben Chilwell,eng ENG,DF,Chelsea,23,1996,25.4,3,0,0,23,41,8,136,24,22,0,0,0,122,38,33,53.5,Matches,d2424d1b
97,Hamza Choudhury,eng ENG,MF,Leicester City,22,1997,3.5,1,0,0,6,2,0,1,4,7,0,0,0,24,6,1,85.7,Matches,7d2d3329
98,Andreas Christensen,dk DEN,DF,Chelsea,24,1996,15.2,2,1,0,9,7,0,0,20,6,0,0,0,85,38,18,67.9,Matches,1cb49278
99,Carney Chukwuemeka,eng ENG,MFFW,Aston Villa,16,2003,0.2,0,0,0,2,0,0,0,0,2,0,0,0,1,1,4,20.0,Matches,b2f9c73e
100,Ciaran Clark,ie IRL,DF,Newcastle Utd,30,1989,21.0,3,0,0,16,11,1,0,29,14,0,1,1,105,69,40,63.3,Matches,2b91cf8e
101,Nathaniel Clyne,eng ENG,DF,Crystal Palace,29,1991,12.7,2,0,0,4,2,0,23,18,10,0,0,0,56,4,10,28.6,Matches,0442183b
102,Conor Coady,eng ENG,DF,Wolves,27,1993,36.7,5,0,0,22,10,0,0,27,23,0,1,0,155,40,28,58.8,Matches,2928dca2
103,Séamus Coleman,ie IRL,DFMF,Everton,31,1988,17.9,0,0,0,12,17,0,35,13,26,0,0,0,124,9,11,45.0,Matches,0420d84f
104,Aaron Connolly,ie IRL,FW,Brighton,20,2000,8.8,0,0,0,6,16,8,2,0,3,1,0,0,12,7,31,18.4,Matches,27c01749
105,Liam Cooper,sct SCO,DF,Leeds United,28,1991,24.3,4,1,0,23,27,1,0,61,45,0,0,0,156,94,61,60.6,Matches,dc64b8b3
106,Theo Corbeanu,ca CAN,FW,Wolves,18,2002,0.1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,Matches,25b82f9a
107,Jack Cork,eng ENG,MF,Burnley,31,1989,15.0,2,0,0,21,12,0,5,16,10,0,0,0,89,32,28,53.3,Matches,74e12f1e
108,Hélder Costa,ao ANG,MFFW,Leeds United,26,1994,12.8,0,0,0,20,18,3,21,3,11,0,0,1,66,4,23,14.8,Matches,f13d02a6
109,Vladimír Coufal,cz CZE,DF,West Ham,27,1992,33.9,3,0,0,29,34,0,132,41,36,0,0,0,169,50,42,54.3,Matches,fdf3cb77
110,Aaron Cresswell,eng ENG,DF,West Ham,30,1989,35.2,3,0,0,13,18,0,207,32,13,0,0,0,195,35,29,54.7,Matches,4f974391
111,Patrick Cutrone,it ITA,FW,Wolves,22,1998,0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.0,Matches,a4fe8cda
112,Stuart Dallas,nir NIR,MFDF,Leeds United,29,1991,37.9,7,0,0,40,51,0,82,44,45,0,0,0,256,32,40,44.4,Matches,67ca8566
113,Scott Dann,eng ENG,DF,Crystal Palace,33,1987,15.0,1,0,0,6,5,0,0,18,4,0,0,0,73,51,29,63.8,Matches,52105203
114,Karl Darlow,eng ENG,GK,Newcastle Utd,29,1990,25.0,3,0,0,0,4,0,0,0,0,0,0,0,11,15,0,100.0,Matches,cde3309f
115,Ben Davies,wls WAL,DF,Tottenham,27,1993,15.0,1,0,0,19,13,1,33,18,17,1,0,0,52,26,23,53.1,Matches,44781702
116,Tom Davies,eng ENG,MF,Everton,22,1998,15.8,3,0,0,26,26,0,5,34,18,0,1,0,102,10,14,41.7,Matches,9228b07c
117,Keinan Davis,eng ENG,FWMF,Aston Villa,22,1998,3.1,0,0,0,4,5,0,4,0,1,0,0,0,10,18,16,52.9,Matches,9deaf2c8
118,Leif Davis,eng ENG,DF,Leeds United,20,2000,0.4,0,0,0,1,0,0,0,1,0,0,0,0,3,0,1,0.0,Matches,8574c61f
119,Craig Dawson,eng ENG,DF,West Ham,30,1990,21.4,5,1,1,14,12,2,0,32,8,0,0,2,92,56,25,69.1,Matches,3e9e06cb
120,Kevin De Bruyne,be BEL,MF,Manchester City,29,1991,22.2,1,0,0,27,31,1,146,9,21,2,0,0,116,4,10,28.6,Matches,e46012d4
121,Liam Delap,eng ENG,FW,Manchester City,17,2003,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0,Matches,dd897ee7
122,Fabian Delph,eng ENG,MFDF,Everton,30,1989,3.0,1,0,0,3,7,0,7,4,2,0,0,0,22,0,0,,Matches,111c3236
123,Leander Dendoncker,be BEL,MFDF,Wolves,25,1995,27.8,4,0,0,31,12,4,8,27,29,0,0,1,136,85,62,57.8,Matches,5a7301ae
124,Mbaye Diagne,sn SEN,FW,West Brom,28,1991,13.2,2,0,0,17,23,17,4,1,3,0,0,0,28,52,91,36.4,Matches,dda3969e
125,Amad Diallo,ci CIV,FW,Manchester Utd,18,2002,1.8,0,0,0,2,4,0,0,0,3,0,0,0,13,1,2,33.3,Matches,9dc96f10
126,Ibrahima Diallo,fr FRA,MF,Southampton,21,1999,11.3,3,0,0,22,11,0,7,10,16,0,1,0,71,10,17,37.0,Matches,11ff3d56
127,Grady Diangana,eng ENG,MFFW,West Brom,22,1998,13.7,0,0,0,11,35,4,20,16,19,0,0,0,69,22,33,40.0,Matches,f522d7ec
128,Rúben Dias,pt POR,DF,Manchester City,23,1997,31.6,4,0,0,21,20,1,2,35,13,0,2,1,135,61,39,61.0,Matches,31c69ef1
129,Eric Dier,eng ENG,DF,Tottenham,26,1994,28.0,3,0,0,16,12,0,5,23,14,0,2,0,139,85,58,59.4,Matches,ac861941
130,Lucas Digne,fr FRA,DFMF,Everton,27,1993,29.8,2,1,0,33,22,4,215,31,38,0,0,0,141,92,42,68.7,Matches,1b84dbe1
131,Issa Diop,fr FRA,DF,West Ham,23,1997,15.3,3,0,0,8,8,1,0,22,14,0,0,1,58,24,18,57.1,Matches,a712ca2b
132,Moussa Djenepo,ml MLI,MF,Southampton,22,1998,13.8,5,0,0,29,39,3,9,10,27,1,1,0,68,11,31,26.2,Matches,254147d4
