Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,21,2000,36,"2,372",66,69.4,26.4,28,78,8,8,22,2,0.86,35,58,-23,-0.87,-0.27,33.3,49.8,-16.5,-0.63,-0.35,Matches
2,George Abbott,eng ENG,MF,Tottenham,16,2005,1,1,1,0,0,0,,0,1,1,1,3,1,0,1,90,89.84,0.3,0,0.3,28.39,28.2,Matches
3,Terry Ablade,fi FIN,FW,Fulham,20,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
4,Che Adams,sct SCO,FW,Southampton,26,1996,28,"1,992",71,58.2,22.1,23,82,13,5,22,1,0.71,18,41,-23,-1.04,-0.16,24.1,33.2,-9.2,-0.41,0.48,Matches
5,Tyler Adams,us USA,MF,Leeds United,23,1999,24,"2,156",90,63,24,24,90,23,0,,0,0.96,28,36,-8,-0.33,1.23,30.2,33,-2.9,-0.12,1.09,Matches
6,Tosin Adarabioyo,eng ENG,DF,Fulham,24,1997,25,"2,085",83,61,23.2,23,90,23,2,8,13,1.44,36,39,-3,-0.13,-0.47,26.5,42.8,-16.3,-0.7,-0.62,Matches
7,Omotayo Adaramola,ie IRL,DF,Crystal Palace,18,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
8,Adrián,es ESP,GK,Liverpool,35,1987,0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches
9,Daniel Adu-Adjei,eng ENG,FW,Bournemouth,17,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
10,Nayef Aguerd,ma MAR,DF,West Ham,26,1996,18,"1,595",89,46.6,17.7,17,89,16,1,76,3,1.06,23,28,-5,-0.28,0.11,24.2,28.6,-4.5,-0.25,-0.28,Matches
11,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,20,2002,8,94,12,2.7,1,0,,0,8,12,3,0.38,0,2,-2,-1.91,-1.73,1.1,1.8,-0.7,-0.69,-0.47,Matches
12,Rayan Aït Nouri,dz ALG,DF,Wolves,21,2001,21,"1,076",51,31.5,12,9,81,4,12,29,7,1,8,18,-10,-0.84,-0.18,11.6,18.7,-7.1,-0.6,0.01,Matches
13,Kristoffer Ajer,no NOR,DF,Brentford,24,1998,9,763,85,22.3,8.5,9,85,6,0,,10,1.11,7,14,-7,-0.83,-1.47,9.4,11.1,-1.6,-0.19,-0.48,Matches
14,Manuel Akanji,ch SUI,DF,Manchester City,27,1995,29,"2,287",79,66.9,25.4,24,88,22,5,36,1,2.52,63,23,40,1.57,-0.09,51.6,21.1,30.5,1.2,-0.07,Matches
15,Nathan Aké,nl NED,DF,Manchester City,27,1995,26,"1,873",72,54.8,20.8,22,82,16,4,16,4,2.23,53,15,38,1.83,0.49,44.8,16.2,28.6,1.37,0.33,Matches
16,Marc Albrighton,eng ENG,"FW,MF",Leicester City,32,1989,6,237,40,6.9,2.6,1,67,0,5,34,13,1.67,4,3,1,0.38,0.89,4.9,4.3,0.6,0.24,0.62,Matches
17,Thiago Alcántara,es ESP,MF,Liverpool,31,1991,18,"1,254",70,36.7,13.9,14,82,9,4,25,0,1.72,22,23,-1,-0.07,-1.28,24.4,20.7,3.7,0.26,-0.49,Matches
18,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,19,2002,18,"1,029",57,30.1,11.4,13,70,2,5,24,2,0.72,15,25,-10,-0.87,0.14,12.2,22.7,-10.5,-0.92,-0.44,Matches
19,Kyle Alex John,eng ENG,DF,Everton,21,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
20,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,1998,37,"2,923",79,85.5,32.5,34,85,23,3,16,1,1.78,70,44,26,0.8,0.44,64.2,42.6,21.6,0.66,0.65,Matches
21,Alisson,br BRA,GK,Liverpool,29,1992,37,"3,330",90,97.4,37,37,90,37,0,,0,1.78,71,43,28,0.76,0.76,68.6,49.1,19.5,0.53,-1.64,Matches
22,Allan,br BRA,"DF,MF",Everton,31,1991,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
23,Dele Alli,eng ENG,MF,Everton,26,1996,2,40,20,1.2,0.4,0,,0,2,20,1,0,1,1,0,0,0.61,1,1.7,-0.7,-1.57,-1.04,Matches
24,Miguel Almirón,py PAR,FW,Newcastle Utd,28,1994,34,"2,491",73,72.8,27.7,29,81,6,5,26,0,1.74,43,22,21,0.76,-0.6,45.9,27.5,18.3,0.66,-0.7,Matches
25,Julián Álvarez,ar ARG,"FW,MF",Manchester City,22,2000,31,"1,465",47,42.8,16.3,13,85,8,18,20,6,2.42,37,16,21,1.29,-0.55,32.3,17.3,15,0.92,-0.53,Matches
26,Steven Alzate,co COL,MF,Brighton,23,1998,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
27,Daniel Amartey,gh GHA,DF,Leicester City,27,1994,20,"1,610",81,47.1,17.9,18,87,16,2,22,15,0.8,20,27,-7,-0.39,0.11,20,27.6,-7.6,-0.42,-0.17,Matches
28,Samuel Amo-Ameyaw,eng ENG,MF,Southampton,16,2006,1,4,4,0.1,0,0,,0,1,4,0,1,0,0,0,0,0.97,0.1,0.7,-0.6,-13.93,-13.34,Matches
29,Ethan Ampadu,wls WAL,"DF,MF",Chelsea,21,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
30,Joseph Anang,eng ENG,GK,West Ham,22,2000,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
31,Joachim Andersen,dk DEN,DF,Crystal Palace,26,1996,32,"2,782",87,81.3,30.9,32,87,30,0,,0,1.31,35,37,-2,-0.06,0.92,34,35.4,-1.3,-0.04,1.01,Matches
32,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,19,2002,22,410,19,12,4.6,3,58,0,19,12,12,1.82,8,7,1,0.22,-0.8,11.7,5.5,6.2,1.37,0.59,Matches
33,Jaidon Anthony,eng ENG,"MF,FW",Bournemouth,22,1999,30,"1,257",42,36.8,14,11,76,4,19,22,8,0.97,9,29,-20,-1.43,-0.85,13.6,26,-12.4,-0.89,-0.35,Matches
34,Michail Antonio,jm JAM,FW,West Ham,32,1990,33,"1,829",55,53.5,20.3,21,75,2,12,22,1,1.09,23,29,-6,-0.3,0.1,25.9,29.3,-3.4,-0.17,-0.14,Matches
35,Antony,br BRA,FW,Manchester Utd,22,2000,25,"1,802",72,52.7,20,23,76,6,2,30,0,1.88,29,21,8,0.4,0.01,32.5,25.2,7.3,0.36,-0.19,Matches
36,Cameron Archer,eng ENG,"FW,MF",Aston Villa,21,2001,6,49,8,1.4,0.5,0,,0,6,8,8,1.17,0,1,-1,-1.84,-2,0.2,0.4,-0.1,-0.25,-0.19,Matches
37,Alphonse Areola,fr FRA,GK,West Ham,29,1993,5,309,62,9,3.4,2,90,2,3,43,30,0.8,5,7,-2,-0.58,-0.26,5.3,7.5,-2.2,-0.64,-0.59,Matches
38,Joe Aribo,ng NGA,"MF,FW",Southampton,26,1996,21,"1,224",58,35.8,13.6,13,77,3,8,28,8,0.57,13,24,-11,-0.81,0.26,13.5,16.6,-3.1,-0.23,0.6,Matches
39,Adam Armstrong,eng ENG,"FW,MF",Southampton,25,1997,30,"1,335",45,39,14.8,14,73,0,16,20,4,0.8,17,24,-7,-0.47,0.82,13.8,24,-10.2,-0.69,-0.13,Matches
40,Stuart Armstrong,sct SCO,"MF,FW",Southampton,30,1992,32,"1,408",44,41.2,15.6,14,70,0,18,24,3,0.56,12,34,-22,-1.41,-0.74,16.3,28.9,-12.6,-0.81,-0.33,Matches
41,Kepa Arrizabalaga,es ESP,GK,Chelsea,27,1994,29,"2,565",88,75,28.5,29,88,28,0,,7,1.14,27,33,-6,-0.21,0.11,39.2,39.1,0.1,0,0.34,Matches
42,Harrison Ashby,sct SCO,DF,West Ham,20,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
43,Harrison Ashby,sct SCO,DF,Newcastle Utd,20,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
44,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33,1989,15,554,37,16.2,6.2,5,62,0,10,24,5,1.07,3,8,-5,-0.81,-0.69,6,8.5,-2.5,-0.41,-0.39,Matches
45,Ludwig Augustinsson,se SWE,DF,Aston Villa,28,1994,3,77,26,2.3,0.9,1,44,0,2,17,9,1.67,1,0,1,1.17,1.06,2.5,0.8,1.6,1.92,2.02,Matches
46,Serge Aurier,ci CIV,DF,Nott'ham Forest,29,1992,24,"1,943",81,56.8,21.6,22,84,16,2,45,0,1.38,24,31,-7,-0.32,1.08,22.7,32.7,-10,-0.46,0.45,Matches
47,Brandon Austin,eng ENG,GK,Tottenham,23,1999,0,,,,,0,,0,0,,15,,,,,,,,,,,,Matches
48,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,24,1997,27,"1,404",52,41.1,15.6,17,71,0,10,19,2,0.93,19,29,-10,-0.64,0.25,17.9,25.9,-8.1,-0.52,0.24,Matches
49,Yasin Ayari,se SWE,MF,Brighton,18,2003,3,67,22,2,0.7,1,45,0,2,11,12,2,2,2,0,0,-0.51,2.7,1.5,1.3,1.72,1.13,Matches
50,André Ayew,gh GHA,"FW,MF",Nott'ham Forest,32,1989,13,316,24,9.2,3.5,1,78,0,12,20,5,0.69,5,10,-5,-1.42,-0.7,4.7,7.2,-2.6,-0.73,-0.09,Matches
51,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,30,1991,38,"2,714",71,79.4,30.2,31,82,17,7,24,0,1.18,32,41,-9,-0.3,-0.3,29.7,40.2,-10.5,-0.35,-0.57,Matches
52,Luke Ayling,eng ENG,DF,Leeds United,30,1991,29,"2,054",71,60.1,22.8,22,89,21,7,14,4,0.79,27,48,-21,-0.92,-0.33,27.7,43.5,-15.8,-0.69,-0.43,Matches
53,César Azpilicueta,es ESP,DF,Chelsea,32,1989,25,"1,527",61,44.6,17,16,82,12,9,23,6,1.12,17,21,-4,-0.24,0,22.5,27.1,-4.6,-0.27,-0.34,Matches
54,Loïc Bade,fr FRA,DF,Nott'ham Forest,22,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
55,Benoît Badiashile,fr FRA,DF,Chelsea,21,2001,11,905,82,26.5,10.1,10,90,10,1,5,7,1.55,11,9,2,0.2,0.59,14,12.3,1.7,0.17,0.34,Matches
56,Leon Bailey,jm JAM,"FW,MF",Aston Villa,24,1997,33,"1,967",60,57.5,21.9,26,70,4,7,21,0,1.61,27,32,-5,-0.23,-0.85,30.7,35.5,-4.8,-0.22,-0.38,Matches
57,Stefan Bajcetic,es ESP,MF,Liverpool,17,2004,11,526,48,15.4,5.8,6,78,0,5,12,10,2.09,11,4,7,1.2,0.54,12.5,6.6,6,1.02,0.53,Matches
58,Dominic Ballard,eng ENG,"FW,MF",Southampton,17,2005,2,26,13,0.8,0.3,0,,0,2,13,0,0.5,0,0,0,0,0.98,0.1,1.2,-1,-3.63,-3.04,Matches
59,Kofi Balmer,nir NIR,DF,Crystal Palace,21,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
60,Patrick Bamford,eng ENG,FW,Leeds United,28,1993,28,"1,515",54,44.3,16.8,18,70,2,10,26,0,0.82,23,31,-8,-0.48,0.56,21.9,28.1,-6.2,-0.37,0.28,Matches
61,Mauro Bandeira,pt POR,MF,Arsenal,18,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
62,Shandon Baptiste,gd GRN,MF,Brentford,24,1998,23,618,27,18.1,6.9,4,68,0,19,18,5,1.35,12,6,6,0.87,0.68,9.8,8.1,1.6,0.24,0.07,Matches
63,Harvey Barnes,eng ENG,"FW,MF",Leicester City,24,1997,34,"2,711",80,79.3,30.1,32,83,21,2,27,0,0.88,41,51,-10,-0.33,0.56,39.4,50.9,-11.5,-0.38,-0.22,Matches
64,Gavin Bazunu,ie IRL,GK,Southampton,20,2002,32,"2,880",90,84.2,32,32,90,32,0,,6,0.75,27,56,-29,-0.91,0.43,30.5,46.1,-15.6,-0.49,0.8,Matches
65,Mads Bech Sørensen,dk DEN,"DF,MF",Brentford,23,1999,4,21,5,0.6,0.2,0,,0,4,5,3,2,1,0,1,4.29,3.99,0.3,0.3,0,0.15,-0.03,Matches
66,Jan Bednarek,pl POL,DF,Southampton,26,1996,20,"1,672",84,48.9,18.6,20,84,17,0,,3,0.55,16,39,-23,-1.24,-0.52,16.9,35,-18.2,-0.98,-0.71,Matches
67,Jan Bednarek,pl POL,DF,Aston Villa,26,1996,3,100,33,2.9,1.1,1,45,0,2,28,10,1.33,0,1,-1,-0.9,-1.06,2.4,1.1,1.3,1.17,1.27,Matches
68,Donny van de Beek,nl NED,MF,Manchester Utd,25,1997,7,167,24,4.9,1.9,2,55,0,5,12,4,1.71,3,3,0,0,-0.42,2.4,1.5,0.9,0.46,0,Matches
69,Asmir Begović,ba BIH,GK,Everton,35,1987,1,90,90,2.6,1,1,90,1,0,,37,3,1,0,1,1,1.65,0.4,1,-0.7,-0.67,-0.14,Matches
70,Armel Bella Kotchap,de GER,DF,Southampton,20,2001,24,"1,879",78,54.9,20.9,24,78,18,0,,2,0.71,18,39,-21,-1.01,-0.07,20.1,35.2,-15.1,-0.73,-0.25,Matches
71,Rhys Bennett,eng ENG,DF,Manchester Utd,18,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
72,Saïd Benrahma,dz ALG,"FW,MF",West Ham,26,1995,35,"2,069",59,60.5,23,22,77,8,13,28,3,0.89,25,32,-7,-0.3,0.1,32.3,32.7,-0.5,-0.02,0.2,Matches
73,Rodrigo Bentancur,uy URU,MF,Tottenham,25,1997,18,"1,500",83,43.9,16.7,17,86,10,1,33,0,1.89,33,24,9,0.54,0.63,26.4,19.6,6.8,0.41,0.38,Matches
74,Daniel Bentley,eng ENG,GK,Wolves,29,1993,2,180,90,5.3,2,2,90,2,0,,16,0.5,1,3,-2,-1,-0.31,1.9,5.1,-3.2,-1.62,-1.07,Matches
75,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,19,2002,12,892,74,26.1,9.9,11,81,7,1,3,2,0.92,14,21,-7,-0.71,-0.35,13.8,17.3,-3.5,-0.35,-0.02,Matches
76,Marcus Bettinelli,eng ENG,GK,Chelsea,30,1992,0,,,,,0,,0,0,,17,,,,,,,,,,,,Matches
77,Owen Bevan,wls WAL,DF,Bournemouth,18,2003,1,9,9,0.3,0.1,0,,0,1,9,0,0,0,1,-1,-10,-9.13,0,0.3,-0.3,-2.78,-2.12,Matches
78,Giulian Biancone,fr FRA,DF,Nott'ham Forest,22,2000,2,17,9,0.5,0.2,0,,0,2,9,8,0.5,0,1,-1,-5.29,-4.53,0.3,0.5,-0.3,-1.38,-0.73,Matches
79,Philip Billing,dk DEN,"MF,FW",Bournemouth,26,1996,36,"2,764",77,80.8,30.7,34,79,11,2,36,0,1.06,32,54,-22,-0.72,0.93,31.5,48.9,-17.3,-0.56,0.52,Matches
80,Nathan Bishop,eng ENG,GK,Manchester Utd,22,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
81,Yves Bissouma,ml MLI,MF,Tottenham,25,1996,23,"1,010",44,29.5,11.2,10,81,4,13,15,2,1.57,20,20,0,0,-0.26,15.5,13.8,1.7,0.15,-0.06,Matches
82,Lamare Bogarde,nl NED,MF,Aston Villa,18,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
83,Willy Boly,ci CIV,DF,Wolves,31,1991,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
84,Willy Boly,ci CIV,DF,Nott'ham Forest,31,1991,11,685,62,20,7.6,9,74,5,2,11,9,1.64,6,10,-4,-0.53,0.33,6.8,10.2,-3.5,-0.46,0.25,Matches
85,Sven Botman,nl NED,DF,Newcastle Utd,22,2000,36,"3,127",87,91.4,34.7,35,89,33,1,1,2,1.94,64,30,34,0.98,0.67,66.8,37.1,29.7,0.86,0.03,Matches
86,Jarrod Bowen,eng ENG,"FW,MF",West Ham,25,1996,38,"3,233",85,94.5,35.9,36,89,30,2,19,0,1.05,40,50,-10,-0.28,1.17,46.7,47.9,-1.2,-0.03,1.24,Matches
87,Sammy Braybrooke,eng ENG,MF,Leicester City,18,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
88,James Bree,eng ENG,DF,Southampton,24,1997,5,367,73,10.7,4.1,4,84,2,1,32,1,0.2,6,12,-6,-1.47,-0.56,4,9.4,-5.4,-1.32,-0.8,Matches
89,Armando Broja,al ALB,FW,Chelsea,20,2001,12,294,25,8.6,3.3,2,67,0,10,16,1,1.5,5,5,0,0,0.26,2.8,4.4,-1.6,-0.49,-0.44,Matches
90,David Brooks,wls WAL,"FW,MF",Bournemouth,25,1997,6,173,29,5.1,1.9,2,55,0,4,16,5,0,0,4,-4,-2.08,-1.25,1,4.5,-3.5,-1.83,-1.23,Matches
91,Lewis Brunt,eng ENG,DF,Leicester City,21,2000,1,23,23,0.7,0.3,0,,0,1,23,6,0,0,1,-1,-3.91,-3.49,0,0.8,-0.8,-3.31,-3,Matches
92,Emi Buendía,ar ARG,"MF,FW",Aston Villa,25,1996,38,"2,412",63,70.5,26.8,27,79,8,11,26,0,1.61,40,34,6,0.22,0.31,36.9,37.2,-0.3,-0.01,0.16,Matches
93,Hugo Bueno,es ESP,DF,Wolves,19,2002,21,"1,310",62,38.3,14.6,16,75,7,5,21,9,1.05,12,29,-17,-1.17,-0.74,13.3,23,-9.7,-0.67,-0.1,Matches
94,Facundo Buonanotte,ar ARG,"FW,MF",Brighton,17,2004,13,565,43,16.5,6.3,6,69,1,7,22,6,1.54,11,12,-1,-0.16,-0.79,11.6,11.9,-0.3,-0.05,-0.79,Matches
95,Dan Burn,eng ENG,DF,Newcastle Utd,30,1992,38,"3,111",82,91,34.6,35,87,27,3,17,0,1.87,64,30,34,0.98,0.69,66.2,35.2,31,0.9,0.48,Matches
96,Jack Butland,eng ENG,GK,Manchester Utd,29,1993,0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches
97,Jack Butland,eng ENG,GK,Crystal Palace,29,1993,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
98,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
99,Willy Caballero,ar ARG,GK,Southampton,40,1981,0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches
100,Cafú,pt POR,MF,Nott'ham Forest,29,1993,1,7,7,0.2,0.1,0,,0,1,7,1,3,0,0,0,0,0.79,0,0.2,-0.2,-2.58,-1.93,Matches
101,Moisés Caicedo,ec ECU,MF,Brighton,20,2001,37,"3,139",85,91.8,34.9,34,89,30,3,35,0,1.68,62,47,15,0.43,-0.85,65.3,44.9,20.4,0.59,-0.28,Matches
102,Tom Cairney,sct SCO,MF,Fulham,31,1991,33,988,30,28.9,11,6,78,0,27,19,0,1.36,18,13,5,0.46,0.57,16,20.1,-4.1,-0.38,0.12,Matches
103,Duje Ćaleta-Car,hr CRO,DF,Southampton,25,1996,13,946,73,27.7,10.5,9,86,7,4,44,13,0.69,8,15,-7,-0.67,0.43,9.2,14.7,-5.6,-0.53,0.11,Matches
104,Dominic Calvert-Lewin,eng ENG,FW,Everton,25,1997,17,"1,165",69,34.1,12.9,15,75,4,2,20,0,0.82,12,22,-10,-0.77,-0.25,16.2,22.7,-6.4,-0.49,0.07,Matches
105,Chem Campbell,wls WAL,"FW,MF",Wolves,19,2002,5,74,15,2.2,0.8,0,,0,5,15,9,0,0,2,-2,-2.43,-1.76,0.2,1,-0.8,-1.01,-0.42,Matches
106,João Cancelo,pt POR,DF,Manchester City,28,1994,17,"1,274",75,37.3,14.2,16,78,10,1,23,3,2.24,36,15,21,1.48,-0.19,24.8,11.3,13.4,0.95,-0.44,Matches
107,Thomas Cannon,ie IRL,FW,Everton,19,2002,2,25,13,0.7,0.3,0,,0,2,13,0,0,0,1,-1,-3.6,-3.02,0.8,0.4,0.4,1.28,1.84,Matches
108,Sergi Canós,es ESP,"FW,DF",Brentford,25,1997,5,77,15,2.3,0.9,0,,0,5,15,7,1.6,0,2,-2,-2.34,-2.71,0.8,1.7,-1,-1.13,-1.35,Matches
109,Diego Carlos,br BRA,DF,Aston Villa,29,1993,3,205,68,6,2.3,2,90,1,1,26,11,1,2,3,-1,-0.44,-0.61,3.6,1.9,1.7,0.74,0.85,Matches
110,Scott Carson,eng ENG,GK,Manchester City,36,1985,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
111,Fabio Carvalho,pt POR,"MF,FW",Liverpool,19,2002,13,347,27,10.1,3.9,4,52,0,9,16,18,1.69,10,3,7,1.82,1.2,7.2,4.9,2.3,0.6,0.03,Matches
112,Casemiro,br BRA,MF,Manchester Utd,30,1992,28,"2,124",76,62.1,23.6,24,85,18,4,22,0,2.11,37,21,16,0.68,0.75,45.6,26,19.7,0.83,1,Matches
113,Kaelan Casey,eng ENG,DF,West Ham,17,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
114,Matty Cash,pl POL,DF,Aston Villa,24,1997,26,"1,820",70,53.2,20.2,20,85,15,6,21,1,1.46,28,29,-1,-0.05,-0.39,28.7,27.4,1.3,0.06,0.26,Matches
115,Timothy Castagne,be BEL,DF,Leicester City,26,1995,37,"3,254",88,95.1,36.2,36,89,33,1,45,1,0.92,49,63,-14,-0.39,1.24,48.5,60.1,-11.6,-0.32,0.3,Matches
116,Jonny Castro,es ESP,DF,Wolves,28,1994,18,"1,261",70,36.9,14,14,84,9,4,22,8,1,8,20,-12,-0.86,-0.23,16,17.2,-1.1,-0.08,0.83,Matches
117,Julio César Enciso,py PAR,"FW,MF",Brighton,18,2004,20,806,40,23.6,9,7,67,1,13,26,11,1.75,21,12,9,1,0.66,21.4,14.7,6.7,0.75,0.18,Matches
118,Nathaniel Chalobah,eng ENG,MF,Fulham,27,1994,4,12,3,0.4,0.1,1,7,0,3,2,10,1.5,0,0,0,0,-0.05,0.1,0.4,-0.3,-1.94,-1.49,Matches
119,Trevoh Chalobah,eng ENG,DF,Chelsea,23,1999,25,"1,608",64,47,17.9,18,86,15,7,8,10,1.2,20,24,-4,-0.22,0.02,23.1,31.6,-8.5,-0.48,-0.75,Matches
120,Calum Chambers,eng ENG,"DF,MF",Aston Villa,27,1995,14,353,25,10.3,3.9,2,90,2,12,14,22,2.07,4,4,0,0,-0.15,3.5,5.6,-2.1,-0.53,-0.53,Matches
