Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
1,Antony,br BRA,FW,Manchester Utd,23,2000,14.7,55,3.74,45,1,2,0,4,3,3,0.2,1,0,0,0,0,2,Matches
2,James Garner,eng ENG,MF,Everton,22,2001,33.4,98,2.94,58,22,3,6,4,5,8,0.24,3,1,0,1,1,2,Matches
3,Cole Palmer,eng ENG,"FW,MF",Chelsea,21,2002,29,162,5.59,116,12,14,10,5,5,26,0.9,20,0,1,2,1,2,Matches
4,Simon Adingra,ci CIV,FW,Brighton,21,2002,24.7,77,3.12,51,1,13,7,3,2,4,0.16,3,0,0,0,0,1,Matches
5,Rodrigo Bentancur,uy URU,MF,Tottenham,26,1997,11.2,31,2.78,26,0,1,2,0,2,4,0.36,3,0,0,0,0,1,Matches
6,Jarrod Bowen,eng ENG,FW,West Ham,26,1996,33.5,81,2.42,55,7,6,5,6,2,12,0.36,9,1,0,1,0,1,Matches
7,Moisés Caicedo,ec ECU,MF,Chelsea,21,2001,31.8,66,2.07,52,0,3,1,6,4,12,0.38,11,0,0,0,0,1,Matches
8,Lewis Cook,eng ENG,MF,Bournemouth,26,1997,31,77,2.49,48,22,2,2,0,3,4,0.13,3,0,0,0,0,1,Matches
9,Matheus Cunha,br BRA,"FW,MF",Wolves,24,1999,27.1,78,2.88,46,1,12,8,8,3,13,0.48,9,0,1,1,1,1,Matches
10,Tom Davies,eng ENG,MF,Sheffield Utd,25,1998,2.5,6,2.44,4,0,0,1,0,1,1,0.41,0,0,0,0,0,1,Matches
11,Rúben Dias,pt POR,DF,Manchester City,26,1997,28.4,35,1.23,28,0,0,5,0,2,4,0.14,2,0,0,1,0,1,Matches
12,Jhon Durán,co COL,"FW,MF",Aston Villa,19,2003,5.3,12,2.27,8,0,1,1,1,1,4,0.76,1,0,1,0,1,1,Matches
13,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,21,2002,27,70,2.59,53,0,6,6,4,1,13,0.48,12,0,0,0,0,1,Matches
14,Harvey Elliott,eng ENG,"MF,FW",Liverpool,20,2003,15,78,5.19,61,9,2,3,1,2,10,0.67,6,1,1,0,1,1,Matches
15,Christian Eriksen,dk DEN,MF,Manchester Utd,31,1992,12.7,46,3.63,36,8,0,0,0,2,3,0.24,2,0,0,0,0,1,Matches
16,Pablo Fornals,es ESP,"MF,FW",West Ham,27,1996,4.7,16,3.37,13,0,0,0,1,2,1,0.21,0,0,0,0,0,1,Matches
17,Conor Gallagher,eng ENG,MF,Chelsea,23,2000,34.8,109,3.14,78,15,5,4,1,6,14,0.4,7,5,0,1,0,1,Matches
18,Alejandro Garnacho,ar ARG,FW,Manchester Utd,19,2004,28.5,119,4.17,80,0,13,13,12,1,15,0.53,10,0,1,1,2,1,Matches
19,Ben Godfrey,eng ENG,DF,Everton,25,1998,12.4,17,1.37,9,1,0,5,0,2,3,0.24,1,0,0,1,0,1,Matches
20,Brennan Johnson,wls WAL,FW,Tottenham,22,2001,23.2,70,3.02,55,0,4,6,3,2,13,0.56,11,0,0,1,0,1,Matches
21,Milos Kerkez,hu HUN,DF,Bournemouth,19,2003,21.9,32,1.46,25,0,0,4,2,1,4,0.18,2,0,0,0,1,1,Matches
22,Justin Kluivert,nl NED,"MF,FW",Bournemouth,24,1999,21.3,59,2.77,37,0,9,6,4,3,5,0.23,3,0,1,0,0,1,Matches
23,Ezri Konsa,eng ENG,DF,Aston Villa,25,1997,34.1,34,1,25,1,2,2,3,1,6,0.18,3,1,0,0,1,1,Matches
24,Dejan Kulusevski,se SWE,"FW,MF",Tottenham,23,2000,30.7,127,4.14,104,1,9,11,0,2,8,0.26,6,0,1,0,0,1,Matches
25,James Maddison,eng ENG,MF,Tottenham,26,1996,23.7,161,6.79,110,22,10,6,10,3,19,0.8,13,1,2,1,1,1,Matches
26,Orel Mangala,be BEL,MF,Nott'ham Forest,25,1998,17.4,20,1.15,17,0,0,0,1,2,2,0.12,1,0,0,0,0,1,Matches
27,Scott McTominay,sct SCO,"MF,FW",Manchester Utd,26,1996,21.1,26,1.23,18,0,1,4,1,2,2,0.09,1,0,0,0,0,1,Matches
28,Lewis Miley,eng ENG,MF,Newcastle Utd,17,2006,13.4,31,2.32,24,0,2,3,0,2,5,0.37,4,0,0,0,0,1,Matches
29,Amadou Onana,be BEL,MF,Everton,21,2001,23.2,56,2.41,47,0,1,3,4,1,1,0.04,0,0,0,0,0,1,Matches
30,Emerson Palmieri,it ITA,DF,West Ham,28,1994,34.9,74,2.12,49,6,3,4,8,4,12,0.34,6,2,1,1,1,1,Matches
31,Bobby Reid,jm JAM,FW,Fulham,30,1993,15.8,35,2.17,29,0,1,3,0,2,4,0.25,3,0,0,0,0,1,Matches
32,Rodri,es ESP,MF,Manchester City,27,1996,32.6,157,4.82,130,2,8,5,6,6,23,0.71,17,0,3,1,1,1,Matches
33,Fabian Schär,ch SUI,DF,Newcastle Utd,31,1991,33.9,47,1.39,33,2,2,4,5,1,12,0.35,8,0,0,0,3,1,Matches
34,Nélson Semedo,pt POR,"DF,MF",Wolves,29,1993,34.3,60,1.75,46,0,3,2,6,3,3,0.09,2,0,0,0,0,1,Matches
35,Antoine Semenyo,gh GHA,FW,Bournemouth,23,2000,23.4,72,3.08,50,0,11,9,1,1,7,0.3,4,0,0,1,1,1,Matches
36,Youri Tielemans,be BEL,"MF,FW",Aston Villa,26,1997,18,49,2.72,40,1,1,3,2,2,16,0.89,14,0,0,1,0,1,Matches
37,Kieran Trippier,eng ENG,DF,Newcastle Utd,32,1990,24.8,101,4.07,68,28,1,0,2,2,11,0.44,7,3,0,0,0,1,Matches
38,Max Aarons,eng ENG,DF,Bournemouth,23,2000,13.7,23,1.68,16,4,0,0,3,0,2,0.15,2,0,0,0,0,0,Matches
39,Joshua Acheampong,eng ENG,DF,Chelsea,17,2006,0.1,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
40,Bénie Adama Traore,ci CIV,"FW,MF",Sheffield Utd,20,2002,4.3,6,1.4,6,0,0,0,0,0,1,0.23,1,0,0,0,0,0,Matches
41,Tyler Adams,us USA,MF,Bournemouth,24,1999,1.3,3,2.25,2,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
42,Tosin Adarabioyo,eng ENG,DF,Fulham,25,1997,18,10,0.56,6,0,0,4,0,0,0,0,0,0,0,0,0,0,Matches
43,Elijah Adebayo,eng ENG,FW,Luton Town,25,1998,15.8,31,1.97,19,0,5,5,2,0,5,0.32,2,0,0,3,0,0,Matches
44,Nayef Aguerd,ma MAR,DF,West Ham,27,1996,20.6,14,0.68,12,1,0,1,0,0,0,0,0,0,0,0,0,0,Matches
45,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,20,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
46,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,21,2002,3.9,9,2.3,9,0,0,0,0,0,3,0.77,3,0,0,0,0,0,Matches
47,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,24,1999,29.4,26,0.88,23,0,0,3,0,0,1,0.03,0,0,0,1,0,0,Matches
48,Ola Aina,ng NGA,DF,Nott'ham Forest,26,1996,18.8,38,2.02,25,5,3,1,3,1,1,0.05,1,0,0,0,0,0,Matches
49,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,22,2001,25.9,65,2.51,41,9,6,3,6,0,5,0.19,2,0,0,0,3,0,Matches
50,Kristoffer Ajer,no NOR,DF,Brentford,25,1998,20.4,27,1.33,24,0,1,2,0,0,3,0.15,3,0,0,0,0,0,Matches
51,Manuel Akanji,ch SUI,"DF,MF",Manchester City,28,1995,27.9,55,1.97,45,1,0,3,2,4,4,0.14,4,0,0,0,0,0,Matches
52,Nathan Aké,nl NED,DF,Manchester City,28,1995,22.7,36,1.59,28,0,2,4,1,1,6,0.26,3,0,1,2,0,0,Matches
53,Thiago Alcántara,es ESP,MF,Liverpool,32,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
54,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24,1998,23.9,126,5.27,80,33,5,6,0,2,7,0.29,4,3,0,0,0,0,Matches
55,Alisson,br BRA,GK,Liverpool,30,1992,28,11,0.39,10,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
56,Miguel Almirón,py PAR,FW,Newcastle Utd,29,1994,21.5,52,2.41,40,1,3,7,1,0,4,0.19,2,1,0,1,0,0,Matches
57,Edson Álvarez,mx MEX,MF,West Ham,25,1997,26.4,32,1.21,24,0,2,3,0,3,2,0.08,2,0,0,0,0,0,Matches
58,Julián Álvarez,ar ARG,"MF,FW",Manchester City,23,2000,29.4,118,4.01,74,28,4,10,2,0,15,0.51,12,1,0,0,2,0,Matches
59,Zeki Amdouni,ch SUI,FW,Burnley,22,2000,21.7,50,2.3,30,0,5,7,5,3,4,0.18,1,0,2,0,1,0,Matches
60,Sofyan Amrabat,ma MAR,"MF,DF",Manchester Utd,26,1996,10.4,19,1.82,19,0,0,0,0,0,1,0.1,1,0,0,0,0,0,Matches
61,Joachim Andersen,dk DEN,DF,Crystal Palace,27,1996,37.9,47,1.24,41,1,0,3,0,2,5,0.13,5,0,0,0,0,0,Matches
62,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,20,2002,11.4,34,2.98,28,0,4,2,0,0,3,0.26,3,0,0,0,0,0,Matches
63,Jaidon Anthony,eng ENG,FW,Bournemouth,23,1999,1.7,3,1.78,2,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
64,Michail Antonio,jm JAM,FW,West Ham,33,1990,18.8,33,1.75,18,1,5,3,4,2,5,0.27,4,0,1,0,0,0,Matches
65,Oliver Arblaster,eng ENG,MF,Sheffield Utd,19,2004,10.5,23,2.2,19,2,0,1,0,1,2,0.19,1,0,0,1,0,0,Matches
66,Cameron Archer,eng ENG,"FW,MF",Sheffield Utd,22,2001,20.4,49,2.41,32,0,9,5,1,2,4,0.2,2,0,1,1,0,0,Matches
67,Cameron Archer,eng ENG,MF,Aston Villa,22,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
68,Alphonse Areola,fr FRA,GK,West Ham,30,1993,30,2,0.07,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
69,Lorenz Assignon,tg TOG,DF,Burnley,23,2000,13.7,23,1.68,18,3,1,0,1,0,2,0.15,2,0,0,0,0,0,Matches
70,Serge Aurier,ci CIV,"DF,MF",Nott'ham Forest,30,1992,9.3,15,1.62,12,1,1,0,1,0,2,0.22,2,0,0,0,0,0,Matches
71,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25,1997,11.6,30,2.6,22,0,2,0,4,2,6,0.52,5,0,1,0,0,0,Matches
72,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,31,1991,28.3,72,2.55,40,5,5,7,12,3,12,0.42,10,0,1,0,1,0,Matches
73,Benoît Badiashile,fr FRA,DF,Chelsea,22,2001,14.9,23,1.55,18,0,0,2,1,2,3,0.2,3,0,0,0,0,0,Matches
74,Leon Bailey,jm JAM,"MF,FW",Aston Villa,25,1997,23,97,4.22,70,7,9,7,3,1,11,0.48,7,1,1,2,0,0,Matches
75,Stefan Bajcetic,es ESP,MF,Liverpool,18,2004,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
76,George Baldock,gr GRE,DF,Sheffield Utd,30,1993,10.8,16,1.49,10,3,2,0,1,0,2,0.19,1,0,0,0,1,0,Matches
77,Carlos Baleba,cm CMR,MF,Brighton,19,2004,14.7,17,1.15,16,0,0,1,0,0,1,0.07,1,0,0,0,0,0,Matches
78,Fodé Ballo-Touré,sn SEN,"DF,MF",Fulham,26,1997,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
79,Shandon Baptiste,gd GRN,MF,Brentford,25,1998,2.5,5,1.96,4,0,1,0,0,0,1,0.39,1,0,0,0,0,0,Matches
80,Valentín Barco,ar ARG,"DF,FW",Brighton,19,2004,3.4,8,2.35,5,3,0,0,0,0,0,0,0,0,0,0,0,0,Matches
81,Ross Barkley,eng ENG,MF,Luton Town,29,1993,29.1,104,3.58,67,11,14,6,3,3,11,0.38,6,2,1,1,1,0,Matches
82,Harvey Barnes,eng ENG,"FW,MF",Newcastle Utd,25,1997,8.9,29,3.25,18,0,5,3,3,0,6,0.67,4,0,2,0,0,0,Matches
83,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,35,1988,3.6,3,0.84,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Matches
84,Calvin Bassey,ng NGA,DF,Fulham,23,1999,25.6,15,0.59,13,0,0,2,0,0,2,0.08,0,0,0,2,0,0,Matches
85,Owen Beck,wls WAL,DF,Liverpool,20,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
86,Donny van de Beek,nl NED,DF,Manchester Utd,26,1997,0,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
87,Amari'i Bell,jm JAM,DF,Luton Town,29,1994,19.1,25,1.31,22,0,0,0,2,1,3,0.16,3,0,0,0,0,0,Matches
88,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,25,1998,10.6,30,2.81,20,2,6,1,1,0,2,0.19,1,0,1,0,0,0,Matches
89,Anis Ben Slimane,tn TUN,MF,Sheffield Utd,22,2001,4.7,12,2.58,8,1,1,1,0,1,0,0,0,0,0,0,0,0,Matches
90,Saïd Benrahma,dz ALG,"FW,MF",West Ham,27,1995,6.9,26,3.77,23,0,3,0,0,0,1,0.15,1,0,0,0,0,0,Matches
91,Daniel Bentley,eng ENG,GK,Wolves,30,1993,4.3,1,0.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
92,Jóhann Berg Guðmundsson,is ISL,"MF,FW",Burnley,32,1990,13.2,50,3.78,28,17,0,2,3,0,5,0.38,3,2,0,0,0,0,Matches
93,Sander Berge,no NOR,MF,Burnley,25,1998,33.4,67,2.01,63,0,3,0,1,0,8,0.24,7,0,1,0,0,0,Matches
94,Luke Berry,eng ENG,"MF,DF",Luton Town,31,1992,3.6,6,1.67,2,1,1,2,0,0,1,0.28,0,0,1,0,0,0,Matches
95,Beto,gw GNB,FW,Everton,25,1998,10.6,32,3.03,19,0,6,3,2,2,1,0.09,1,0,0,0,0,0,Matches
96,Jordan Beyer,de GER,DF,Burnley,23,2000,13.7,10,0.73,10,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
97,Philip Billing,dk DEN,MF,Bournemouth,27,1996,15.5,46,2.96,40,2,1,2,1,0,5,0.32,5,0,0,0,0,0,Matches
98,Yves Bissouma,ml MLI,MF,Tottenham,26,1996,23,44,1.91,35,2,3,0,0,4,3,0.13,3,0,0,0,0,0,Matches
99,Benicio Boaitey,eng ENG,"FW,DF",Brighton,19,2004,0.4,2,4.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
100,Oscar Bobb,no NOR,"FW,MF",Manchester City,20,2003,3.4,22,6.56,16,0,4,1,1,0,6,1.79,3,0,2,0,1,0,Matches
101,Jayden Bogle,eng ENG,DF,Sheffield Utd,23,2000,31,33,1.07,26,1,3,1,2,0,1,0.03,0,0,0,1,0,0,Matches
102,Willy Boly,ci CIV,DF,Nott'ham Forest,32,1991,16,16,1,14,0,0,2,0,0,2,0.13,2,0,0,0,0,0,Matches
103,Sven Botman,nl NED,DF,Newcastle Utd,23,2000,15.3,14,0.92,12,0,0,2,0,0,3,0.2,3,0,0,0,0,0,Matches
104,Conor Bradley,nir NIR,DF,Liverpool,20,2003,8.4,27,3.22,18,1,3,2,1,2,3,0.36,2,1,0,0,0,0,Matches
105,Jarrad Branthwaite,eng ENG,DF,Everton,21,2002,34.6,25,0.72,20,0,0,1,3,1,4,0.12,3,0,0,0,1,0,Matches
106,Ben Brereton,cl CHI,"FW,MF",Sheffield Utd,24,1999,12.3,31,2.52,21,0,4,2,3,1,4,0.33,2,0,1,0,1,0,Matches
107,Rhian Brewster,eng ENG,"FW,MF",Sheffield Utd,23,2000,3.8,7,1.82,6,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
108,Armando Broja,al ALB,FW,Chelsea,21,2001,5,8,1.59,5,0,1,0,2,0,1,0.2,0,0,0,0,1,0,Matches
109,Armando Broja,al ALB,FW,Fulham,21,2001,1,1,1.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
110,Andre Brooks,eng ENG,"MF,DF",Sheffield Utd,19,2003,10.4,9,0.86,6,0,2,1,0,0,0,0,0,0,0,0,0,0,Matches
111,David Brooks,wls WAL,"FW,MF",Bournemouth,26,1997,3.1,20,6.41,16,1,1,1,1,0,3,0.96,2,0,1,0,0,0,Matches
112,Jacob Brown,sct SCO,"MF,FW",Luton Town,25,1998,11.3,15,1.33,10,0,1,1,3,0,0,0,0,0,0,0,0,0,Matches
113,Josh Brownhill,eng ENG,MF,Burnley,27,1995,25,70,2.8,43,19,1,3,3,1,6,0.24,5,1,0,0,0,0,Matches
114,Jacob Bruun Larsen,dk DEN,"MF,FW",Burnley,24,1998,13.9,46,3.31,32,11,1,1,1,0,0,0,0,0,0,0,0,0,Matches
115,Hugo Bueno,es ESP,"DF,MF",Wolves,20,2002,8.2,17,2.07,14,0,1,1,1,0,2,0.24,2,0,0,0,0,0,Matches
116,Santiago Bueno,uy URU,DF,Wolves,24,1998,9.1,5,0.55,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
117,Facundo Buonanotte,ar ARG,"FW,MF",Brighton,18,2004,15.2,38,2.51,26,1,2,3,5,1,2,0.13,2,0,0,0,0,0,Matches
118,Reece Burke,eng ENG,DF,Luton Town,26,1996,18.4,21,1.14,15,1,0,5,0,0,4,0.22,3,0,0,1,0,0,Matches
119,Dan Burn,eng ENG,DF,Newcastle Utd,31,1992,30.3,27,0.89,22,2,1,2,0,0,4,0.13,3,0,0,1,0,0,Matches
120,Mason Burstow,eng ENG,FW,Chelsea,19,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
121,Tom Cairney,sct SCO,MF,Fulham,32,1991,16.5,71,4.3,62,2,2,2,1,2,13,0.79,11,0,1,0,1,0,Matches
122,Dominic Calvert-Lewin,eng ENG,FW,Everton,26,1997,24.1,54,2.24,37,0,4,7,4,2,6,0.25,3,0,0,3,0,0,Matches
123,Thomas Cannon,ie IRL,FW,Everton,20,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
124,Diego Carlos,br BRA,DF,Aston Villa,30,1993,20.2,9,0.45,9,0,0,0,0,0,2,0.1,2,0,0,0,0,0,Matches
125,Cesare Casadei,it ITA,"FW,MF",Chelsea,20,2003,0.9,4,4.62,2,0,0,0,1,1,0,0,0,0,0,0,0,0,Matches
126,Casemiro,br BRA,"MF,DF",Manchester Utd,31,1992,22,41,1.86,35,2,0,3,1,0,4,0.18,4,0,0,0,0,0,Matches
127,Kaelan Casey,eng ENG,DF,West Ham,18,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
128,Matty Cash,pl POL,DF,Aston Villa,25,1997,23.8,44,1.85,34,1,0,6,2,1,8,0.34,7,0,0,0,1,0,Matches
129,Timothy Castagne,be BEL,DF,Fulham,27,1995,29.3,50,1.71,39,2,4,4,0,1,2,0.07,2,0,0,0,0,0,Matches
130,Jonny Castro,es ESP,MF,Wolves,29,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
131,Trevoh Chalobah,eng ENG,DF,Chelsea,24,1999,10.6,5,0.47,5,0,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
132,Calum Chambers,eng ENG,"MF,DF",Aston Villa,28,1995,1.7,1,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
133,Youssef Chermiti,pt POR,FW,Everton,19,2004,2.3,7,3.03,5,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches
134,Ben Chilwell,eng ENG,DF,Chelsea,26,1996,8.4,22,2.62,11,8,0,1,2,0,2,0.24,1,0,0,1,0,0,Matches
135,Tawanda Chirewa,zw ZIM,"MF,FW",Wolves,19,2003,1.6,3,1.86,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
136,Leon Chiwome,eng ENG,FW,Wolves,17,2006,1.9,1,0.52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
137,Tahith Chong,nl NED,"MF,FW",Luton Town,23,1999,22,49,2.22,31,0,3,2,11,2,4,0.18,2,0,0,2,0,0,Matches
138,Ryan Christie,sct SCO,MF,Bournemouth,28,1995,32.3,117,3.62,88,8,7,5,6,3,6,0.19,5,1,0,0,0,0,Matches
139,Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,19,2003,2.5,9,3.57,7,0,1,1,0,0,4,1.59,2,0,1,1,0,0,Matches
140,Bobby Clark,eng ENG,MF,Liverpool,18,2005,1,1,1.01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
141,Jordan Clark,eng ENG,MF,Luton Town,29,1993,14.5,29,2,23,0,2,3,1,0,1,0.07,1,0,0,0,0,0,Matches
142,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32,1991,14.9,8,0.54,6,0,0,1,0,1,1,0.07,0,0,0,1,0,0,Matches
143,Séamus Coleman,ie IRL,DF,Everton,34,1988,7.4,6,0.81,5,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
