Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
432,Nathan Patterson,sct SCO,DF,Everton,21,2001,11.2,0,4,0,0,0.36,0,0,,20.9,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
433,Myles Peart-Harris,eng ENG,"DF,MF",Brentford,20,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
434,Sydie Peck,eng ENG,MF,Sheffield Utd,18,2004,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
435,Facundo Pellistri,uy URU,"FW,MF",Manchester Utd,21,2001,1.9,0,4,2,50,2.09,1.05,0,0,11.5,0,0,0,0.7,0.7,0.18,-0.7,-0.7,Matches
436,Andreas Pereira,br BRA,MF,Fulham,27,1996,29,3,52,16,30.8,1.79,0.55,0.06,0.19,21.9,7,0,0,4.6,4.6,0.09,-1.6,-1.6,Matches
437,Ivan Perišić,hr CRO,FW,Tottenham,34,1989,1.1,0,2,0,0,1.75,0,0,,13,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
438,Đorđe Petrović,rs SRB,GK,Chelsea,23,1999,22.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
439,Kalvin Phillips,eng ENG,MF,West Ham,27,1995,3.4,0,3,2,66.7,0.87,0.58,0,0,25.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
440,Kalvin Phillips,eng ENG,MF,Manchester City,27,1995,1,0,2,0,0,1.94,0,0,,21.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
441,Jaden Philogene Bidace,eng ENG,FW,Aston Villa,21,2002,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
442,Jordan Pickford,eng ENG,GK,Everton,29,1994,38,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
443,Ethan Pinnock,jm JAM,DF,Brentford,30,1993,28,2,19,4,21.1,0.68,0.14,0.11,0.5,9.8,0,0,0,2,2,0.11,0,0,Matches
444,Nick Pope,eng ENG,GK,Newcastle Utd,31,1992,14.9,0,1,0,0,0.07,0,0,,14.3,0,0,0,0,0,0.03,0,0,Matches
445,Pedro Porro,es ESP,DF,Tottenham,23,1999,34.3,3,53,12,22.6,1.54,0.35,0.06,0.25,21,4,0,0,2.9,2.9,0.06,+0.1,+0.1,Matches
446,Jarell Quansah,eng ENG,DF,Liverpool,20,2003,13.2,2,6,4,66.7,0.45,0.3,0.33,0.5,10.6,0,0,0,1,1,0.17,+1.0,+1.0,Matches
447,Ionuț Radu,ro ROU,GK,Bournemouth,26,1997,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
448,Jesurun Rak Sakyi,eng ENG,"MF,FW",Crystal Palace,20,2002,1.5,0,5,1,20,3.31,0.66,0,0,15.5,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
449,Aaron Ramsdale,eng ENG,GK,Arsenal,25,1998,6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
450,Aaron Ramsey,eng ENG,"MF,FW",Burnley,20,2003,5.9,0,6,2,33.3,1.02,0.34,0,0,16.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
451,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,22,2001,9.5,1,19,4,21.1,2,0.42,0.05,0.25,15.9,0,0,0,2.2,2.2,0.11,-1.2,-1.2,Matches
452,David Raya,es ESP,GK,Arsenal,27,1995,32,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
453,Tim Ream,us USA,DF,Fulham,35,1987,16.7,1,1,1,100,0.06,0.06,1,1,1.3,0,0,0,1,1,0.96,0,0,Matches
454,Nathan Redmond,eng ENG,"FW,MF",Burnley,29,1994,1.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
455,Harrison Reed,eng ENG,MF,Fulham,28,1995,14.7,0,9,2,22.2,0.61,0.14,0,0,23.6,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
456,Sergio Reguilón,es ESP,DF,Manchester Utd,26,1996,4.6,0,4,0,0,0.87,0,0,,18.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
457,Sergio Reguilón,es ESP,DF,Brentford,26,1996,12.4,0,13,1,7.7,1.05,0.08,0,0,18.2,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
458,Bobby Reid,jm JAM,FW,Fulham,30,1993,15.8,6,33,8,24.2,2.09,0.51,0.18,0.75,15.7,0,0,0,4.6,4.6,0.14,+1.4,+1.4,Matches
459,Gio Reyna,us USA,"FW,MF",Nott'ham Forest,20,2002,2.6,0,5,2,40,1.91,0.77,0,0,21.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
460,Rodrigo Ribeiro,pt POR,"MF,FW",Nott'ham Forest,18,2005,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
461,Declan Rice,eng ENG,MF,Arsenal,24,1999,35.8,7,58,20,34.5,1.62,0.56,0.12,0.35,20.4,2,0,0,3.3,3.3,0.06,+3.7,+3.7,Matches
462,Chris Richards,us USA,"DF,MF",Crystal Palace,23,2000,23.3,1,11,3,27.3,0.47,0.13,0.09,0.33,10,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches
463,Richarlison,br BRA,FW,Tottenham,26,1997,16.6,11,62,25,40.3,3.74,1.51,0.18,0.44,12.9,0,0,0,9.6,9.6,0.15,+1.4,+1.4,Matches
464,Jaïro Riedewald,nl NED,"MF,FW",Crystal Palace,26,1996,2.6,0,1,0,0,0.38,0,0,,14.5,0,0,0,0,0,0.02,0,0,Matches
465,Matt Ritchie,sct SCO,"FW,MF",Newcastle Utd,33,1989,1.4,1,6,4,66.7,4.22,2.81,0.17,0.25,12,0,0,0,1,1,0.16,0,0,Matches
466,Connor Roberts,wls WAL,DF,Burnley,27,1995,9.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
467,Andrew Robertson,sct SCO,DF,Liverpool,29,1994,18.8,3,12,6,50,0.64,0.32,0.25,0.5,12.5,0,0,0,1.9,1.9,0.16,+1.1,+1.1,Matches
468,Antonee Robinson,us USA,DF,Fulham,25,1997,36.3,0,16,7,43.8,0.44,0.19,0,0,22.9,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
469,Jack Robinson,eng ENG,DF,Sheffield Utd,29,1993,32.1,1,14,5,35.7,0.44,0.16,0.07,0.2,12.7,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
470,Rodri,es ESP,MF,Manchester City,27,1996,32.6,8,62,22,35.5,1.9,0.68,0.13,0.36,20.6,0,0,0,4.1,4.1,0.07,+3.9,+3.9,Matches
471,Mads Roerslev,dk DEN,DF,Brentford,24,1999,22.1,1,7,1,14.3,0.32,0.05,0.14,1,14.3,0,0,0,0.9,0.9,0.14,+0.1,+0.1,Matches
472,Morgan Rogers,eng ENG,"MF,FW",Aston Villa,21,2002,7.1,3,11,5,45.5,1.55,0.71,0.27,0.6,14.8,0,0,0,1.4,1.4,0.12,+1.6,+1.6,Matches
473,Cristian Romero,ar ARG,DF,Tottenham,25,1998,31,5,24,9,37.5,0.77,0.29,0.21,0.56,10.5,0,0,0,3.5,3.5,0.14,+1.5,+1.5,Matches
474,Joe Rothwell,eng ENG,MF,Bournemouth,28,1995,4.3,0,2,0,0,0.47,0,0,,22.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
475,Pelly Ruddock Mpanzu,cd COD,MF,Luton Town,30,1993,12.2,0,11,1,9.1,0.9,0.08,0,0,19.7,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
476,José Sá,pt POR,GK,Wolves,30,1993,33.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
477,Dominic Sadi,eng ENG,FW,Bournemouth,19,2003,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
478,William Saliba,fr FRA,DF,Arsenal,22,2001,38,2,10,3,30,0.26,0.08,0.2,0.67,10.5,0,0,0,1.6,1.6,0.16,+0.4,+0.4,Matches
479,Albert Sambi Lokonga,be BEL,MF,Luton Town,23,1999,14.5,1,8,2,25,0.55,0.14,0.13,0.5,20.9,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Matches
480,Davinson Sánchez,co COL,DF,Tottenham,27,1996,0.9,0,1,0,0,1.17,0,0,,8.6,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
481,Robert Sánchez,es ESP,GK,Chelsea,25,1997,15.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
482,Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,23,2000,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
483,Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,25,1997,11.5,0,8,0,0,0.7,0,0,,17,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
484,Andrey Santos,br BRA,MF,Nott'ham Forest,19,2004,0.1,0,2,0,0,22.5,0,0,,22.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
485,Dane Scarlett,eng ENG,FW,Tottenham,19,2004,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
486,Kevin Schade,de GER,"FW,MF",Brentford,21,2001,3.7,2,8,4,50,2.16,1.08,0.25,0.5,15.8,0,0,0,1.2,1.2,0.15,+0.8,+0.8,Matches
487,Fabian Schär,ch SUI,DF,Newcastle Utd,31,1991,33.9,4,35,9,25.7,1.03,0.27,0.11,0.44,18.9,3,0,0,2.5,2.5,0.07,+1.5,+1.5,Matches
488,Jeffrey Schlupp,gh GHA,"FW,MF",Crystal Palace,30,1992,15,2,19,11,57.9,1.26,0.73,0.11,0.18,19.4,0,0,0,1.8,1.8,0.1,+0.2,+0.2,Matches
489,Alex Scott,eng ENG,MF,Bournemouth,19,2003,11.3,1,15,3,20,1.33,0.27,0.07,0.33,22.8,2,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches
490,Matz Sels,be BEL,GK,Nott'ham Forest,31,1992,16,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
491,Nélson Semedo,pt POR,"DF,MF",Wolves,29,1993,34.3,0,17,4,23.5,0.5,0.12,0,0,19.7,0,0,0,1.3,1.3,0.07,-1.3,-1.3,Matches
492,Antoine Semenyo,gh GHA,FW,Bournemouth,23,2000,23.4,8,70,30,42.9,2.99,1.28,0.11,0.27,17.8,0,0,0,4.6,4.6,0.07,+3.4,+3.4,Matches
493,Marcos Senesi,ar ARG,DF,Bournemouth,26,1997,24.9,4,13,4,30.8,0.52,0.16,0.31,1,12.3,0,0,0,2,2,0.16,+2.0,+2.0,Matches
494,Luke Shaw,eng ENG,DF,Manchester Utd,28,1995,10.7,0,2,0,0,0.19,0,0,,21.2,0,0,0,0,0,0.02,0,0,Matches
495,James Shea,eng ENG,GK,Luton Town,32,1991,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
496,Bernardo Silva,pt POR,"MF,FW",Manchester City,28,1994,28.6,6,34,15,44.1,1.19,0.52,0.18,0.4,15.9,0,0,0,3.7,3.7,0.11,+2.3,+2.3,Matches
497,Fábio Silva,pt POR,FW,Wolves,21,2002,2.9,0,7,3,42.9,2.39,1.02,0,0,13.8,0,0,0,1,1,0.15,-1,-1,Matches
498,Thiago Silva,br BRA,DF,Chelsea,38,1984,28.1,3,14,4,28.6,0.5,0.14,0.21,0.75,9.4,0,0,0,0.8,0.8,0.06,+2.2,+2.2,Matches
499,Luis Sinisterra,co COL,"FW,MF",Bournemouth,24,1999,7.8,2,27,8,29.6,3.48,1.03,0.07,0.25,13.9,0,0,0,2.5,2.5,0.09,-0.5,-0.5,Matches
500,Oliver Skipp,eng ENG,"MF,DF",Tottenham,22,2000,7.9,0,4,1,25,0.51,0.13,0,0,13.7,0,0,0,0.7,0.7,0.17,-0.7,-0.7,Matches
501,Adam Smith,eng ENG,DF,Bournemouth,32,1991,23.9,0,2,0,0,0.08,0,0,,26.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
502,Emile Smith Rowe,eng ENG,MF,Arsenal,23,2000,3.9,0,15,5,33.3,3.82,1.27,0,0,15.6,0,0,0,2,2,0.13,-2,-2,Matches
503,Cédric Soares,pt POR,DF,Arsenal,31,1991,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
504,Manor Solomon,il ISR,FW,Tottenham,24,1999,2.2,0,7,1,14.3,3.17,0.45,0,0,16.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
505,Tomáš Souček,cz CZE,MF,West Ham,28,1995,31.9,7,43,15,34.9,1.35,0.47,0.16,0.47,11,0,0,0,6.7,6.7,0.16,+0.3,+0.3,Matches
506,Vinicius Souza,br BRA,MF,Sheffield Utd,24,1999,29.6,1,14,6,42.9,0.47,0.2,0.07,0.17,21.5,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches
507,Jason Steele,eng ENG,GK,Brighton,32,1990,17,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
508,Raheem Sterling,eng ENG,"FW,MF",Chelsea,28,1994,22,8,51,21,41.2,2.32,0.96,0.16,0.38,14.5,5,0,0,6.5,6.5,0.13,+1.5,+1.5,Matches
509,John Stones,eng ENG,"DF,MF",Manchester City,29,1994,11.8,1,4,2,50,0.34,0.17,0.25,0.5,15.9,0,0,0,1,1,0.26,0,0,Matches
510,Thomas Strakosha,al ALB,GK,Brentford,28,1995,1.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
511,Dominik Szoboszlai,hu HUN,MF,Liverpool,22,2000,23.4,3,60,15,25,2.57,0.64,0.05,0.2,24.3,7,0,0,3.7,3.7,0.06,-0.7,-0.7,Matches
512,Matt Targett,eng ENG,DF,Newcastle Utd,27,1995,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
513,James Tarkowski,eng ENG,DF,Everton,30,1992,38,1,25,4,16,0.66,0.11,0.04,0.25,9.9,0,0,0,2.6,2.6,0.1,-1.6,-1.6,Matches
514,Jimi Tauriainen,eng ENG,FW,Chelsea,19,2004,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
515,Nuno Tavares,pt POR,DF,Nott'ham Forest,23,2000,5.1,0,7,1,14.3,1.38,0.2,0,0,26.1,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
516,Marcus Tavernier,eng ENG,FW,Bournemouth,24,1999,23.5,3,53,16,30.2,2.25,0.68,0.06,0.19,20,4,0,0,3.9,3.9,0.07,-0.9,-0.9,Matches
517,Charlie Taylor,eng ENG,DF,Burnley,29,1993,25.9,1,10,1,10,0.39,0.04,0.1,1,25.8,0,0,0,0.2,0.2,0.02,+0.8,+0.8,Matches
518,Kenny Tete,nl NED,DF,Fulham,27,1995,9.6,1,4,1,25,0.42,0.1,0.25,1,7.9,0,0,0,0.9,0.9,0.21,+0.1,+0.1,Matches
519,Luke Thomas,eng ENG,DF,Sheffield Utd,22,2001,10.2,0,6,1,16.7,0.59,0.1,0,0,15.1,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
520,Youri Tielemans,be BEL,"MF,FW",Aston Villa,26,1997,18,2,14,5,35.7,0.78,0.28,0.14,0.4,20,0,0,0,1.3,1.3,0.09,+0.7,+0.7,Matches
521,Jurriën Timber,nl NED,DF,Arsenal,22,2001,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
522,Harry Toffolo,eng ENG,DF,Nott'ham Forest,27,1995,16.2,1,8,5,62.5,0.49,0.31,0.13,0.2,14.4,0,0,0,1.6,1.6,0.21,-0.6,-0.6,Matches
523,Takehiro Tomiyasu,jp JPN,DF,Arsenal,24,1998,12.8,2,17,3,17.6,1.33,0.23,0.12,0.67,14.9,0,0,0,1.5,1.5,0.09,+0.5,+0.5,Matches
524,James Tomkins,eng ENG,DF,Crystal Palace,34,1989,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
525,Sandro Tonali,it ITA,MF,Newcastle Utd,23,2000,4.9,1,3,2,66.7,0.62,0.41,0.33,0.5,15.8,0,0,0,0.7,0.7,0.22,+0.3,+0.3,Matches
526,Ivan Toney,eng ENG,FW,Brentford,27,1996,16.1,4,51,21,41.2,3.17,1.3,0.08,0.19,17.4,8,0,0,6,6,0.12,-2,-2,Matches
527,Pau Torres,es ESP,DF,Aston Villa,26,1997,27.4,2,12,5,41.7,0.44,0.18,0.17,0.4,15.4,0,0,0,1,1,0.08,+1.0,+1.0,Matches
528,Andros Townsend,eng ENG,"MF,FW",Luton Town,32,1991,13.4,1,20,7,35,1.49,0.52,0.05,0.14,23.7,2,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
529,James Trafford,eng ENG,GK,Burnley,20,2002,28,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
530,Adama Traoré,es ESP,"FW,MF",Fulham,27,1996,4.2,2,11,7,63.6,2.63,1.67,0.18,0.29,16,0,0,0,1.5,1.5,0.14,+0.5,+0.5,Matches
531,Bertrand Traoré,bf BFA,"DF,FW",Aston Villa,27,1995,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
532,Boubacar Traoré,ml MLI,MF,Wolves,21,2001,9.1,0,11,1,9.1,1.21,0.11,0,0,27.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
533,Mark Travers,ie IRL,GK,Bournemouth,24,1999,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
534,Mike Trésor,be BEL,"FW,MF",Burnley,24,1999,4.7,0,5,0,0,1.07,0,0,,19.7,1,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
535,Kieran Trippier,eng ENG,DF,Newcastle Utd,32,1990,24.8,1,8,2,25,0.32,0.08,0.13,0.5,23.8,4,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
536,Leandro Trossard,be BEL,"FW,MF",Arsenal,28,1994,18.3,12,60,22,36.7,3.27,1.2,0.2,0.55,16.1,0,0,0,7.9,7.9,0.13,+4.1,+4.1,Matches
537,Auston Trusty,us USA,DF,Sheffield Utd,24,1998,28.6,0,8,2,25,0.28,0.07,0,0,13,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
538,Kostas Tsimikas,gr GRE,DF,Liverpool,27,1996,7.5,0,3,0,0,0.4,0,0,,23.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
539,Matt Turner,us USA,GK,Nott'ham Forest,29,1994,17,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
540,Destiny Udogie,it ITA,DF,Tottenham,20,2002,26.6,2,9,5,55.6,0.34,0.19,0.22,0.4,10.1,0,0,0,2.4,2.4,0.27,-0.4,-0.4,Matches
541,Lesley Ugochukwu,fr FRA,MF,Chelsea,19,2004,3.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
542,Enes Ünal,tr TUR,"FW,MF",Bournemouth,26,1997,3.6,2,23,8,34.8,6.31,2.2,0.09,0.25,12.5,2,0,0,2.9,2.9,0.13,-0.9,-0.9,Matches
543,Virgil van Dijk,nl NED,DF,Liverpool,32,1991,35.3,2,45,14,31.1,1.27,0.4,0.04,0.14,12.6,1,0,0,2.8,2.8,0.06,-0.8,-0.8,Matches
544,Raphaël Varane,fr FRA,DF,Manchester Utd,30,1993,15.3,1,8,2,25,0.52,0.13,0.13,0.5,9.2,0,0,0,1.3,1.3,0.16,-0.3,-0.3,Matches
545,Alejo Véliz,ar ARG,FW,Tottenham,19,2003,0.6,1,2,1,50,3.6,1.8,0.5,1,8.9,0,0,0,0.2,0.2,0.12,+0.8,+0.8,Matches
546,Joël Veltman,nl NED,DF,Brighton,31,1992,17.6,1,5,3,60,0.28,0.17,0.2,0.33,14.2,0,0,0,0.4,0.4,0.08,+0.6,+0.6,Matches
547,Micky van de Ven,nl NED,DF,Tottenham,22,2001,26,3,8,3,37.5,0.31,0.12,0.38,1,16,0,0,0,0.6,0.6,0.08,+2.4,+2.4,Matches
548,Bart Verbruggen,nl NED,GK,Brighton,20,2002,21,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
549,Guglielmo Vicario,it ITA,GK,Tottenham,26,1996,38,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
550,Carlos Vinícius,br BRA,FW,Fulham,28,1995,3.5,2,9,5,55.6,2.57,1.43,0.22,0.4,10.9,0,0,0,1.6,1.6,0.18,+0.4,+0.4,Matches
551,Vitinho,br BRA,"DF,MF",Burnley,24,1999,25.7,0,25,4,16,0.97,0.16,0,0,18,0,0,0,1.6,1.6,0.06,-1.6,-1.6,Matches
552,Odisseas Vlachodimos,gr GRE,GK,Nott'ham Forest,29,1994,5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
553,Kyle Walker,eng ENG,DF,Manchester City,33,1990,30.7,0,16,3,18.8,0.52,0.1,0,0,29.4,1,0,0,0.4,0.4,0.02,-0.4,-0.4,Matches
554,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,25,1997,19.8,0,3,1,33.3,0.15,0.05,0,0,20.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
555,Joel Ward,eng ENG,DF,Crystal Palace,33,1989,22,0,10,0,0,0.45,0,0,,18,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Matches
556,Lewis Warrington,eng ENG,FW,Everton,20,2002,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
557,Deivid Washington,br BRA,"DF,FW",Chelsea,18,2005,0.1,0,1,0,0,6.92,0,0,,9,0,0,0,0.5,0.5,0.47,-0.5,-0.5,Matches
558,Ollie Watkins,eng ENG,FW,Aston Villa,27,1995,35.7,19,107,47,43.9,2.99,1.31,0.18,0.4,12.8,0,0,0,16.8,16.8,0.16,+2.2,+2.2,Matches
559,Adam Webster,eng ENG,DF,Brighton,28,1995,12.7,0,8,0,0,0.63,0,0,,9.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
560,Danny Welbeck,eng ENG,"FW,MF",Brighton,32,1990,18.8,5,41,16,39,2.18,0.85,0.12,0.31,14.5,1,0,0,5.3,5.3,0.13,-0.3,-0.3,Matches
561,Timo Werner,de GER,FW,Tottenham,27,1996,9,2,29,7,24.1,3.23,0.78,0.07,0.29,14.1,0,0,0,3.7,3.7,0.13,-1.7,-1.7,Matches
562,Adam Wharton,eng ENG,MF,Crystal Palace,19,2004,14.4,0,10,1,10,0.69,0.07,0,0,24.2,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
563,Ethan Wheatley,eng ENG,FW,Manchester Utd,17,2006,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
564,Ben White,eng ENG,DF,Arsenal,25,1997,33.2,4,13,6,46.2,0.39,0.18,0.31,0.67,13.2,0,0,0,1.2,1.2,0.09,+2.8,+2.8,Matches
565,Joe White,eng ENG,MF,Newcastle Utd,20,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
566,Neco Williams,wls WAL,DF,Nott'ham Forest,22,2001,18.2,0,15,4,26.7,0.82,0.22,0,0,18.9,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
567,Joe Willock,eng ENG,MF,Newcastle Utd,23,1999,4.7,1,7,3,42.9,1.5,0.64,0.14,0.33,10.9,0,0,0,0.8,0.8,0.12,+0.2,+0.2,Matches
568,Harry Wilson,wls WAL,FW,Fulham,26,1997,18,4,40,13,32.5,2.22,0.72,0.1,0.31,19.1,3,0,0,3.4,3.4,0.08,+0.6,+0.6,Matches
569,Yoane Wissa,cd COD,FW,Brentford,26,1996,27.7,12,67,24,35.8,2.42,0.87,0.18,0.5,12.9,0,0,0,10.6,10.6,0.16,+1.4,+1.4,Matches
570,Chris Wood,nz NZL,FW,Nott'ham Forest,31,1991,20.1,14,48,26,54.2,2.38,1.29,0.29,0.54,10.2,0,0,0,11.9,11.9,0.25,+2.1,+2.1,Matches
571,Cauley Woodrow,eng ENG,"FW,MF",Luton Town,28,1994,4.7,1,16,4,25,3.37,0.84,0.06,0.25,18.7,1,0,0,1.4,1.4,0.09,-0.4,-0.4,Matches
572,Joe Worrall,eng ENG,DF,Nott'ham Forest,26,1997,4.9,0,2,0,0,0.41,0,0,,10.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
573,Yehor Yarmoliuk,ua UKR,MF,Brentford,19,2004,7.6,0,11,5,45.5,1.44,0.65,0,0,18.9,0,0,0,1,1,0.09,-1,-1,Matches
574,Ryan Yates,eng ENG,MF,Nott'ham Forest,25,1997,22.1,1,32,7,21.9,1.45,0.32,0.03,0.14,18.2,0,0,0,2.6,2.6,0.08,-1.6,-1.6,Matches
575,Ashley Young,eng ENG,"DF,MF",Everton,38,1985,25.3,0,13,2,15.4,0.51,0.08,0,0,21.9,3,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
576,Illia Zabarnyi,ua UKR,DF,Bournemouth,20,2002,37,1,8,2,25,0.22,0.05,0.13,0.5,7.5,0,0,0,1.1,1.1,0.14,-0.1,-0.1,Matches
577,Nicolò Zaniolo,it ITA,"FW,MF",Aston Villa,24,1999,9.3,2,27,10,37,2.9,1.07,0.07,0.2,14,0,0,0,2.6,2.6,0.09,-0.6,-0.6,Matches
578,Anass Zaroury,ma MAR,"FW,MF",Burnley,22,2000,1.7,0,3,1,33.3,1.78,0.59,0,0,20.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
579,Oleksandr Zinchenko,ua UKR,DF,Arsenal,26,1996,19.1,1,17,3,17.6,0.89,0.16,0.06,0.33,24,0,0,0,0.6,0.6,0.03,+0.4,+0.4,Matches
580,Kurt Zouma,fr FRA,DF,West Ham,28,1994,31.5,3,16,7,43.8,0.51,0.22,0.19,0.43,9.1,0,0,0,1.8,1.8,0.12,+1.2,+1.2,Matches